Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,136.5,137.35,135.5,137.1,144264.0,N100,0.5999999999999943,0.44,Monday,January,2024
2024-01-05,136.7,137.85,136.25,136.7,114069.0,N100,0.0,0.0,Friday,January,2024
2024-01-04,134.9,137.1,133.85,137.1,218881.0,N100,2.1999999999999886,1.631,Thursday,January,2024
2024-01-03,133.5,134.8,132.9,134.25,282810.0,N100,0.75,0.562,Wednesday,January,2024
2024-01-02,134.5,135.65,133.3,133.45,171137.0,N100,-1.0500000000000114,-0.781,Tuesday,January,2024
2023-12-29,134.35,134.65,133.8,133.95,100404.0,N100,-0.4000000000000057,-0.298,Friday,December,2023
2023-12-28,134.5,134.95,133.9,134.1,100293.0,N100,-0.4000000000000057,-0.297,Thursday,December,2023
2023-12-27,134.4,134.95,133.65,134.3,91255.0,N100,-0.09999999999999432,-0.074,Wednesday,December,2023
2023-12-22,135.3,135.4,133.65,134.4,159905.0,N100,-0.9000000000000057,-0.665,Friday,December,2023
2023-12-21,133.95,135.7,133.9,134.95,184271.0,N100,1.0,0.747,Thursday,December,2023
2023-12-20,134.75,134.85,133.6,133.85,238696.0,N100,-0.9000000000000057,-0.668,Wednesday,December,2023
2023-12-19,135.2,135.5,134.3,134.8,215389.0,N100,-0.39999999999997726,-0.296,Tuesday,December,2023
2023-12-18,135.2,135.85,134.3,135.3,186614.0,N100,0.10000000000002274,0.074,Monday,December,2023
2023-12-15,134.85,136.1,134.45,134.9,451649.0,N100,0.05000000000001137,0.037,Friday,December,2023
2023-12-14,138.75,138.75,134.5,134.55,329094.0,N100,-4.199999999999989,-3.027,Thursday,December,2023
2023-12-13,138.35,139.1,138.05,138.7,147511.0,N100,0.3499999999999943,0.253,Wednesday,December,2023
2023-12-12,136.0,137.45,135.6,137.45,192724.0,N100,1.4499999999999886,1.066,Tuesday,December,2023
2023-12-11,139.5,140.3,134.8,137.4,323372.0,N100,-2.0999999999999943,-1.505,Monday,December,2023
2023-12-08,135.8,139.45,135.4,138.95,330892.0,N100,3.1499999999999773,2.32,Friday,December,2023
2023-12-07,136.5,137.25,135.2,135.5,231237.0,N100,-1.0,-0.733,Thursday,December,2023
2023-12-06,135.55,137.6,135.35,136.2,203436.0,N100,0.6499999999999773,0.48,Wednesday,December,2023
2023-12-05,135.5,136.15,133.9,135.4,337695.0,N100,-0.09999999999999432,-0.074,Tuesday,December,2023
2023-12-04,138.25,139.05,136.6,136.6,251501.0,N100,-1.6500000000000057,-1.193,Monday,December,2023
2023-12-01,138.25,139.7,138.2,139.15,169018.0,N100,0.9000000000000057,0.651,Friday,December,2023
2023-11-30,137.5,137.9,134.9,136.95,822787.0,N100,-0.5500000000000114,-0.4,Thursday,November,2023
2023-11-29,138.5,139.7,137.75,138.65,170306.0,N100,0.15000000000000568,0.108,Wednesday,November,2023
2023-11-28,137.05,138.7,136.85,138.35,194159.0,N100,1.299999999999983,0.949,Tuesday,November,2023
2023-11-27,141.0,141.4,137.45,137.45,229824.0,N100,-3.5500000000000114,-2.518,Monday,November,2023
2023-11-24,141.0,142.0,140.55,140.55,143658.0,N100,-0.44999999999998863,-0.319,Friday,November,2023
2023-11-23,140.75,141.65,140.3,140.5,120493.0,N100,-0.25,-0.178,Thursday,November,2023
2023-11-22,140.6,142.1,140.2,140.65,171721.0,N100,0.05000000000001137,0.036,Wednesday,November,2023
2023-11-21,138.45,140.4,137.3,140.1,143076.0,N100,1.6500000000000057,1.192,Tuesday,November,2023
2023-11-20,138.3,139.45,137.8,138.35,187463.0,N100,0.04999999999998295,0.036,Monday,November,2023
2023-11-17,137.15,138.5,136.7,138.15,213012.0,N100,1.0,0.729,Friday,November,2023
2023-11-16,137.55,138.55,136.85,136.85,258578.0,N100,-0.700000000000017,-0.509,Thursday,November,2023
2023-11-15,137.4,138.4,136.7,137.2,231312.0,N100,-0.20000000000001705,-0.146,Wednesday,November,2023
2023-11-14,140.75,140.75,137.8,138.05,201552.0,N100,-2.6999999999999886,-1.918,Tuesday,November,2023
2023-11-13,139.0,141.2,139.0,141.1,206021.0,N100,2.0999999999999943,1.511,Monday,November,2023
2023-11-10,137.8,139.45,137.4,138.6,222653.0,N100,0.799999999999983,0.581,Friday,November,2023
2023-11-09,137.5,137.6,135.75,137.1,202361.0,N100,-0.4000000000000057,-0.291,Thursday,November,2023
2023-11-08,136.15,138.05,135.95,137.4,182734.0,N100,1.25,0.918,Wednesday,November,2023
2023-11-07,136.75,137.1,135.8,136.0,194865.0,N100,-0.75,-0.548,Tuesday,November,2023
2023-11-06,135.0,137.55,134.9,136.75,206888.0,N100,1.75,1.296,Monday,November,2023
2023-11-03,137.85,138.05,133.95,135.1,243923.0,N100,-2.75,-1.995,Friday,November,2023
2023-11-02,138.9,139.2,136.95,137.45,244203.0,N100,-1.450000000000017,-1.044,Thursday,November,2023
2023-11-01,139.2,139.9,136.15,138.35,297491.0,N100,-0.8499999999999943,-0.611,Wednesday,November,2023
2023-10-31,136.5,139.95,134.75,139.15,472647.0,N100,2.6500000000000057,1.941,Tuesday,October,2023
2023-10-30,142.0,142.9,140.8,141.1,201690.0,N100,-0.9000000000000057,-0.634,Monday,October,2023
2023-10-27,142.3,142.65,140.4,141.05,222940.0,N100,-1.25,-0.878,Friday,October,2023
2023-10-26,141.65,143.3,140.75,142.0,292316.0,N100,0.3499999999999943,0.247,Thursday,October,2023
2023-10-25,141.85,143.0,140.7,142.05,217904.0,N100,0.20000000000001705,0.141,Wednesday,October,2023
2023-10-24,139.6,142.05,139.15,141.6,212423.0,N100,2.0,1.433,Tuesday,October,2023
2023-10-23,138.05,140.25,137.4,139.3,299746.0,N100,1.25,0.905,Monday,October,2023
2023-10-20,137.9,139.15,136.75,137.85,230508.0,N100,-0.05000000000001137,-0.036,Friday,October,2023
2023-10-19,141.0,141.25,137.1,138.3,226604.0,N100,-2.6999999999999886,-1.915,Thursday,October,2023
2023-10-18,141.55,142.25,140.75,141.55,169203.0,N100,0.0,0.0,Wednesday,October,2023
2023-10-17,142.5,144.05,141.5,142.25,204274.0,N100,-0.25,-0.175,Tuesday,October,2023
2023-10-16,144.25,145.45,143.05,143.2,282831.0,N100,-1.0500000000000114,-0.728,Monday,October,2023
2023-10-13,142.85,145.7,142.6,144.4,407388.0,N100,1.5500000000000114,1.085,Friday,October,2023
2023-10-12,139.5,142.8,139.45,142.8,380052.0,N100,3.3000000000000114,2.366,Thursday,October,2023
2023-10-11,135.8,139.0,135.8,139.0,285846.0,N100,3.1999999999999886,2.356,Wednesday,October,2023
2023-10-10,134.65,136.1,134.45,135.4,192863.0,N100,0.75,0.557,Tuesday,October,2023
2023-10-09,130.5,134.35,130.5,134.0,376870.0,N100,3.5,2.682,Monday,October,2023
2023-10-06,128.3,129.25,126.7,128.0,231158.0,N100,-0.30000000000001137,-0.234,Friday,October,2023
2023-10-05,128.6,128.75,126.65,128.1,236575.0,N100,-0.5,-0.389,Thursday,October,2023
2023-10-04,130.85,131.0,128.6,128.6,224782.0,N100,-2.25,-1.72,Wednesday,October,2023
2023-10-03,132.05,132.4,130.35,131.1,215447.0,N100,-0.950000000000017,-0.719,Tuesday,October,2023
2023-10-02,133.3,134.7,131.7,131.85,231683.0,N100,-1.450000000000017,-1.088,Monday,October,2023
2023-09-29,133.45,134.45,131.75,133.1,227405.0,N100,-0.3499999999999943,-0.262,Friday,September,2023
2023-09-28,133.35,133.6,132.6,133.6,173035.0,N100,0.25,0.187,Thursday,September,2023
2023-09-27,132.8,133.2,131.9,133.2,172065.0,N100,0.39999999999997726,0.301,Wednesday,September,2023
2023-09-26,131.45,133.2,130.8,132.65,188837.0,N100,1.200000000000017,0.913,Tuesday,September,2023
2023-09-25,132.95,133.7,132.05,132.75,176408.0,N100,-0.19999999999998863,-0.15,Monday,September,2023
2023-09-22,133.45,133.9,132.05,132.7,237169.0,N100,-0.75,-0.562,Friday,September,2023
2023-09-21,136.0,136.5,134.4,134.5,215605.0,N100,-1.5,-1.103,Thursday,September,2023
2023-09-20,138.0,138.4,136.3,137.3,217896.0,N100,-0.6999999999999886,-0.507,Wednesday,September,2023
2023-09-19,138.65,139.95,138.25,139.55,188660.0,N100,0.9000000000000057,0.649,Tuesday,September,2023
2023-09-18,139.15,139.55,138.45,138.95,141926.0,N100,-0.20000000000001705,-0.144,Monday,September,2023
2023-09-15,139.1,140.75,138.95,139.5,437242.0,N100,0.4000000000000057,0.288,Friday,September,2023
2023-09-14,139.5,139.5,137.35,138.05,199155.0,N100,-1.4499999999999886,-1.039,Thursday,September,2023
2023-09-13,140.0,140.65,138.3,139.85,194487.0,N100,-0.15000000000000568,-0.107,Wednesday,September,2023
2023-09-12,139.6,140.0,138.85,139.85,167320.0,N100,0.25,0.179,Tuesday,September,2023
2023-09-11,138.8,140.95,138.45,139.35,157624.0,N100,0.549999999999983,0.396,Monday,September,2023
2023-09-08,137.5,139.15,137.2,138.7,202870.0,N100,1.1999999999999886,0.873,Friday,September,2023
2023-09-07,136.25,137.4,136.1,137.3,121377.0,N100,1.0500000000000114,0.771,Thursday,September,2023
2023-09-06,136.45,137.25,135.6,136.7,177976.0,N100,0.25,0.183,Wednesday,September,2023
2023-09-05,136.4,138.0,136.05,137.15,139290.0,N100,0.75,0.55,Tuesday,September,2023
2023-09-04,138.0,138.7,136.45,136.7,144037.0,N100,-1.3000000000000114,-0.942,Monday,September,2023
2023-09-01,135.25,136.3,134.45,135.25,159489.0,N100,0.0,0.0,Friday,September,2023
2023-08-31,134.45,135.9,133.85,134.8,297577.0,N100,0.35000000000002274,0.26,Thursday,August,2023
2023-08-30,134.2,134.6,133.5,134.05,161855.0,N100,-0.14999999999997726,-0.112,Wednesday,August,2023
2023-08-29,134.1,135.45,133.6,133.8,141655.0,N100,-0.29999999999998295,-0.224,Tuesday,August,2023
2023-08-28,133.45,134.35,132.8,134.3,129900.0,N100,0.8500000000000227,0.637,Monday,August,2023
2023-08-25,132.0,133.7,131.7,132.7,118868.0,N100,0.6999999999999886,0.53,Friday,August,2023
2023-08-24,132.6,134.0,132.35,132.35,123209.0,N100,-0.25,-0.189,Thursday,August,2023
2023-08-23,131.3,132.65,131.05,132.5,115436.0,N100,1.1999999999999886,0.914,Wednesday,August,2023
2023-08-22,131.5,131.75,130.9,131.1,128411.0,N100,-0.4000000000000057,-0.304,Tuesday,August,2023
2023-08-21,129.4,131.75,129.25,130.8,172618.0,N100,1.4000000000000057,1.082,Monday,August,2023
2023-08-18,128.8,129.75,128.35,129.45,203454.0,N100,0.6499999999999773,0.505,Friday,August,2023
2023-08-17,130.4,130.4,128.8,128.9,183041.0,N100,-1.5,-1.15,Thursday,August,2023
2023-08-16,131.2,132.1,130.9,131.0,133304.0,N100,-0.19999999999998863,-0.152,Wednesday,August,2023
2023-08-15,133.6,133.6,131.9,131.9,149770.0,N100,-1.6999999999999886,-1.272,Tuesday,August,2023
2023-08-14,135.6,135.6,133.3,133.3,213553.0,N100,-2.299999999999983,-1.696,Monday,August,2023
2023-08-11,136.85,137.0,135.4,135.65,207207.0,N100,-1.1999999999999886,-0.877,Friday,August,2023
2023-08-10,138.2,138.25,135.65,136.55,232173.0,N100,-1.6499999999999773,-1.194,Thursday,August,2023
2023-08-09,138.0,139.0,137.8,137.8,276197.0,N100,-0.19999999999998863,-0.145,Wednesday,August,2023
2023-08-08,136.05,137.55,135.8,137.4,288497.0,N100,1.3499999999999943,0.992,Tuesday,August,2023
2023-08-04,134.1,135.0,133.7,134.6,236326.0,N100,0.5,0.373,Friday,August,2023
2023-08-03,134.95,135.3,132.05,133.45,259124.0,N100,-1.5,-1.112,Thursday,August,2023
2023-08-02,135.35,137.1,134.95,135.3,274226.0,N100,-0.04999999999998295,-0.037,Wednesday,August,2023
2023-08-01,136.2,138.45,135.35,136.25,273661.0,N100,0.05000000000001137,0.037,Tuesday,August,2023
2023-07-31,134.35,136.65,133.75,135.95,282357.0,N100,1.5999999999999943,1.191,Monday,July,2023
2023-07-28,133.5,136.65,133.15,134.25,212700.0,N100,0.75,0.562,Friday,July,2023
2023-07-27,132.5,134.55,131.95,133.65,269718.0,N100,1.1500000000000057,0.868,Thursday,July,2023
