Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,13.28,13.32,13.14,13.23,8970591.0,N100,-0.049999999999998934,-0.377,Monday,January,2024
2024-01-05,13.2,13.33,13.1,13.28,9805529.0,N100,0.08000000000000007,0.606,Friday,January,2024
2024-01-04,13.24,13.29,12.85,13.29,17743038.0,N100,0.049999999999998934,0.378,Thursday,January,2024
2024-01-03,13.51,13.53,13.28,13.38,12431805.0,N100,-0.129999999999999,-0.962,Wednesday,January,2024
2024-01-02,13.52,13.64,13.34,13.45,11234039.0,N100,-0.07000000000000028,-0.518,Tuesday,January,2024
2023-12-29,13.52,13.59,13.5,13.53,6646081.0,N100,0.009999999999999787,0.074,Friday,December,2023
2023-12-28,13.66,13.68,13.53,13.54,6104767.0,N100,-0.120000000000001,-0.878,Thursday,December,2023
2023-12-27,13.66,13.68,13.54,13.66,6032641.0,N100,0.0,0.0,Wednesday,December,2023
2023-12-22,13.58,13.7,13.56,13.6,7780394.0,N100,0.019999999999999574,0.147,Friday,December,2023
2023-12-21,13.59,13.64,13.51,13.58,8799874.0,N100,-0.009999999999999787,-0.074,Thursday,December,2023
2023-12-20,13.72,13.82,13.52,13.62,12869763.0,N100,-0.10000000000000142,-0.729,Wednesday,December,2023
2023-12-19,13.71,13.77,13.66,13.67,10135942.0,N100,-0.040000000000000924,-0.292,Tuesday,December,2023
2023-12-18,13.66,13.79,13.63,13.71,8790143.0,N100,0.05000000000000071,0.366,Monday,December,2023
2023-12-15,13.7,13.83,13.57,13.74,29163110.0,N100,0.040000000000000924,0.292,Friday,December,2023
2023-12-14,13.65,13.76,13.52,13.62,16660026.0,N100,-0.030000000000001137,-0.22,Thursday,December,2023
2023-12-13,13.6,13.64,13.54,13.54,11001234.0,N100,-0.0600000000000005,-0.441,Wednesday,December,2023
2023-12-12,13.54,13.66,13.52,13.62,12571874.0,N100,0.08000000000000007,0.591,Tuesday,December,2023
2023-12-11,13.55,13.58,13.45,13.58,13125935.0,N100,0.02999999999999936,0.221,Monday,December,2023
2023-12-08,13.35,13.57,13.3,13.51,16336263.0,N100,0.16000000000000014,1.199,Friday,December,2023
2023-12-07,13.22,13.33,13.15,13.32,10331144.0,N100,0.09999999999999964,0.756,Thursday,December,2023
2023-12-06,13.08,13.33,13.05,13.27,14957940.0,N100,0.1899999999999995,1.453,Wednesday,December,2023
2023-12-05,12.93,13.08,12.89,13.06,12332747.0,N100,0.13000000000000078,1.005,Tuesday,December,2023
2023-12-04,12.97,13.0,12.89,12.94,9095564.0,N100,-0.030000000000001137,-0.231,Monday,December,2023
2023-12-01,12.93,12.96,12.84,12.88,10164303.0,N100,-0.049999999999998934,-0.387,Friday,December,2023
2023-11-30,12.86,12.91,12.79,12.88,16539927.0,N100,0.02000000000000135,0.156,Thursday,November,2023
2023-11-29,12.6,12.84,12.6,12.77,9973748.0,N100,0.16999999999999993,1.349,Wednesday,November,2023
2023-11-28,12.62,12.68,12.58,12.65,8682491.0,N100,0.030000000000001137,0.238,Tuesday,November,2023
2023-11-27,12.69,12.73,12.65,12.65,8558960.0,N100,-0.03999999999999915,-0.315,Monday,November,2023
2023-11-24,12.62,12.72,12.6,12.7,9587044.0,N100,0.08000000000000007,0.634,Friday,November,2023
2023-11-23,12.6,12.6,12.3,12.58,12765376.0,N100,-0.019999999999999574,-0.159,Thursday,November,2023
2023-11-22,12.72,12.78,12.62,12.68,8333363.0,N100,-0.040000000000000924,-0.314,Wednesday,November,2023
2023-11-21,12.65,12.8,12.65,12.73,10708888.0,N100,0.08000000000000007,0.632,Tuesday,November,2023
2023-11-20,12.82,12.86,12.68,12.71,8994710.0,N100,-0.10999999999999943,-0.858,Monday,November,2023
2023-11-17,12.59,12.76,12.59,12.75,14336854.0,N100,0.16000000000000014,1.271,Friday,November,2023
2023-11-16,12.62,12.67,12.55,12.58,10920436.0,N100,-0.03999999999999915,-0.317,Thursday,November,2023
2023-11-15,12.47,12.62,12.45,12.6,11936354.0,N100,0.129999999999999,1.043,Wednesday,November,2023
2023-11-14,12.27,12.5,12.2,12.47,14269208.0,N100,0.20000000000000107,1.63,Tuesday,November,2023
2023-11-13,12.2,12.32,12.18,12.28,11898380.0,N100,0.08000000000000007,0.656,Monday,November,2023
2023-11-10,12.11,12.22,12.09,12.16,10712602.0,N100,0.05000000000000071,0.413,Friday,November,2023
2023-11-09,12.1,12.19,11.78,12.15,14221274.0,N100,0.05000000000000071,0.413,Thursday,November,2023
2023-11-08,12.11,12.24,12.01,12.16,12515586.0,N100,0.05000000000000071,0.413,Wednesday,November,2023
2023-11-07,12.25,12.35,12.11,12.22,10581888.0,N100,-0.02999999999999936,-0.245,Tuesday,November,2023
2023-11-06,12.33,12.34,12.2,12.31,9962081.0,N100,-0.019999999999999574,-0.162,Monday,November,2023
2023-11-03,11.9,12.3,11.83,12.25,18838544.0,N100,0.34999999999999964,2.941,Friday,November,2023
2023-11-02,11.93,12.07,11.43,11.79,22148271.0,N100,-0.14000000000000057,-1.174,Thursday,November,2023
2023-11-01,12.09,12.14,11.95,12.01,10352447.0,N100,-0.08000000000000007,-0.662,Wednesday,November,2023
2023-10-31,12.02,12.09,11.97,12.03,8797002.0,N100,0.009999999999999787,0.083,Tuesday,October,2023
2023-10-30,11.96,12.02,11.9,12.01,6466205.0,N100,0.049999999999998934,0.418,Monday,October,2023
2023-10-27,12.2,12.21,11.88,11.88,9907533.0,N100,-0.3199999999999985,-2.623,Friday,October,2023
2023-10-26,11.93,11.96,11.71,11.95,8566980.0,N100,0.019999999999999574,0.168,Thursday,October,2023
2023-10-25,12.01,12.05,11.9,12.04,6278910.0,N100,0.02999999999999936,0.25,Wednesday,October,2023
2023-10-24,12.09,12.13,11.99,12.05,5327468.0,N100,-0.03999999999999915,-0.331,Tuesday,October,2023
2023-10-23,12.11,12.16,11.99,12.12,5815926.0,N100,0.009999999999999787,0.083,Monday,October,2023
2023-10-20,12.21,12.29,12.02,12.05,12121439.0,N100,-0.16000000000000014,-1.31,Friday,October,2023
2023-10-19,12.41,12.41,12.21,12.38,8423413.0,N100,-0.02999999999999936,-0.242,Thursday,October,2023
2023-10-18,12.6,12.61,12.4,12.45,7326995.0,N100,-0.15000000000000036,-1.19,Wednesday,October,2023
2023-10-17,12.56,12.66,12.49,12.59,7229142.0,N100,0.02999999999999936,0.239,Tuesday,October,2023
2023-10-16,12.58,12.63,12.43,12.57,7001115.0,N100,-0.009999999999999787,-0.079,Monday,October,2023
2023-10-13,12.7,12.75,12.48,12.51,9718063.0,N100,-0.1899999999999995,-1.496,Friday,October,2023
2023-10-12,12.93,12.95,12.73,12.75,8346663.0,N100,-0.17999999999999972,-1.392,Thursday,October,2023
2023-10-11,12.75,12.9,12.72,12.86,8184026.0,N100,0.10999999999999943,0.863,Wednesday,October,2023
2023-10-10,12.68,12.85,12.68,12.78,10279443.0,N100,0.09999999999999964,0.789,Tuesday,October,2023
2023-10-09,12.63,12.63,12.43,12.52,8612804.0,N100,-0.11000000000000121,-0.871,Monday,October,2023
2023-10-06,12.59,12.81,12.55,12.74,11543917.0,N100,0.15000000000000036,1.191,Friday,October,2023
2023-10-05,12.52,12.58,12.37,12.53,7505659.0,N100,0.009999999999999787,0.08,Thursday,October,2023
2023-10-04,12.29,12.58,12.22,12.44,11552295.0,N100,0.15000000000000036,1.221,Wednesday,October,2023
2023-10-03,12.35,12.56,12.29,12.35,6692283.0,N100,0.0,0.0,Tuesday,October,2023
2023-10-02,12.63,12.72,12.43,12.48,7568490.0,N100,-0.15000000000000036,-1.188,Monday,October,2023
2023-09-29,12.59,12.63,12.52,12.55,7984770.0,N100,-0.03999999999999915,-0.318,Friday,September,2023
2023-09-28,12.4,12.59,12.35,12.55,9379329.0,N100,0.15000000000000036,1.21,Thursday,September,2023
2023-09-27,12.45,12.55,12.35,12.42,7962855.0,N100,-0.02999999999999936,-0.241,Wednesday,September,2023
2023-09-26,12.34,12.51,12.19,12.43,11704413.0,N100,0.08999999999999986,0.729,Tuesday,September,2023
2023-09-25,12.26,12.48,12.23,12.37,11375588.0,N100,0.10999999999999943,0.897,Monday,September,2023
