Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,108.2,109.0,106.8,108.5,49975.0,N100,0.29999999999999716,0.277,Monday,January,2024
2024-01-05,108.4,108.7,107.1,108.5,49774.0,N100,0.09999999999999432,0.092,Friday,January,2024
2024-01-04,107.6,110.1,107.6,109.6,38079.0,N100,2.0,1.859,Thursday,January,2024
2024-01-03,109.0,110.6,107.4,107.7,51183.0,N100,-1.2999999999999972,-1.193,Wednesday,January,2024
2024-01-02,108.2,109.5,108.2,108.9,64642.0,N100,0.7000000000000028,0.647,Tuesday,January,2024
2023-12-29,108.0,108.6,107.5,107.9,28878.0,N100,-0.09999999999999432,-0.093,Friday,December,2023
2023-12-28,107.9,108.1,107.5,107.7,26705.0,N100,-0.20000000000000284,-0.185,Thursday,December,2023
2023-12-27,107.5,108.1,107.2,107.6,38101.0,N100,0.09999999999999432,0.093,Wednesday,December,2023
2023-12-22,106.6,107.7,106.6,107.2,38338.0,N100,0.6000000000000085,0.563,Friday,December,2023
2023-12-21,105.8,107.2,105.7,106.6,56375.0,N100,0.7999999999999972,0.756,Thursday,December,2023
2023-12-20,106.2,107.4,106.2,106.8,56936.0,N100,0.5999999999999943,0.565,Wednesday,December,2023
2023-12-19,105.7,107.1,105.0,106.0,83245.0,N100,0.29999999999999716,0.284,Tuesday,December,2023
2023-12-18,104.4,105.9,104.4,105.8,55139.0,N100,1.3999999999999915,1.341,Monday,December,2023
2023-12-15,105.7,106.5,104.1,104.7,188257.0,N100,-1.0,-0.946,Friday,December,2023
2023-12-14,104.0,106.0,103.5,106.0,129055.0,N100,2.0,1.923,Thursday,December,2023
2023-12-13,101.7,102.9,101.7,102.5,67293.0,N100,0.7999999999999972,0.787,Wednesday,December,2023
2023-12-12,101.6,102.8,100.8,101.5,95439.0,N100,-0.09999999999999432,-0.098,Tuesday,December,2023
2023-12-11,103.0,103.4,101.5,102.5,63391.0,N100,-0.5,-0.485,Monday,December,2023
2023-12-08,103.6,104.0,102.2,103.1,68147.0,N100,-0.5,-0.483,Friday,December,2023
2023-12-07,102.7,105.3,102.4,103.9,103302.0,N100,1.2000000000000028,1.168,Thursday,December,2023
2023-12-06,102.2,104.8,102.0,102.9,89524.0,N100,0.7000000000000028,0.685,Wednesday,December,2023
2023-12-05,101.3,102.3,100.8,101.9,72410.0,N100,0.6000000000000085,0.592,Tuesday,December,2023
2023-12-04,100.8,103.5,100.7,101.3,95367.0,N100,0.5,0.496,Monday,December,2023
2023-12-01,104.0,105.6,102.4,102.6,88128.0,N100,-1.4000000000000057,-1.346,Friday,December,2023
2023-11-30,103.2,104.8,102.8,103.5,233909.0,N100,0.29999999999999716,0.291,Thursday,November,2023
2023-11-29,102.4,103.7,102.4,102.9,45146.0,N100,0.5,0.488,Wednesday,November,2023
2023-11-28,102.9,103.1,101.9,102.6,52057.0,N100,-0.30000000000001137,-0.292,Tuesday,November,2023
2023-11-27,104.2,104.8,103.1,103.1,55537.0,N100,-1.1000000000000085,-1.056,Monday,November,2023
2023-11-24,105.0,105.6,104.1,104.3,53331.0,N100,-0.7000000000000028,-0.667,Friday,November,2023
2023-11-23,104.6,104.9,103.8,104.8,25856.0,N100,0.20000000000000284,0.191,Thursday,November,2023
2023-11-22,104.4,104.5,103.5,104.5,37167.0,N100,0.09999999999999432,0.096,Wednesday,November,2023
2023-11-21,104.1,104.4,102.1,104.3,41732.0,N100,0.20000000000000284,0.192,Tuesday,November,2023
2023-11-20,101.9,105.1,101.5,104.1,90864.0,N100,2.1999999999999886,2.159,Monday,November,2023
2023-11-17,105.5,107.4,105.1,107.3,106360.0,N100,1.7999999999999972,1.706,Friday,November,2023
2023-11-16,103.3,105.4,103.3,105.4,95116.0,N100,2.1000000000000085,2.033,Thursday,November,2023
