Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,22.36,22.48,22.08,22.44,361972.0,N100,0.08000000000000185,0.358,Monday,January,2024
2024-01-05,22.12,22.38,21.88,22.26,526682.0,N100,0.14000000000000057,0.633,Friday,January,2024
2024-01-04,22.14,22.36,21.96,22.26,532056.0,N100,0.120000000000001,0.542,Thursday,January,2024
2024-01-03,23.08,23.18,22.14,22.14,811050.0,N100,-0.9399999999999977,-4.073,Wednesday,January,2024
2024-01-02,22.94,23.26,22.92,23.1,394316.0,N100,0.16000000000000014,0.697,Tuesday,January,2024
2023-12-29,23.18,23.18,22.98,23.04,268411.0,N100,-0.14000000000000057,-0.604,Friday,December,2023
2023-12-28,23.28,23.28,23.08,23.18,178647.0,N100,-0.10000000000000142,-0.43,Thursday,December,2023
2023-12-27,22.96,23.2,22.96,23.2,276874.0,N100,0.23999999999999844,1.045,Wednesday,December,2023
2023-12-22,23.18,23.2,22.94,23.08,200532.0,N100,-0.10000000000000142,-0.431,Friday,December,2023
2023-12-21,23.18,23.28,23.06,23.12,508708.0,N100,-0.05999999999999872,-0.259,Thursday,December,2023
2023-12-20,22.92,23.3,22.9,23.24,459328.0,N100,0.31999999999999673,1.396,Wednesday,December,2023
2023-12-19,22.82,23.04,22.64,22.98,462691.0,N100,0.16000000000000014,0.701,Tuesday,December,2023
2023-12-18,22.9,23.04,22.66,22.84,610032.0,N100,-0.05999999999999872,-0.262,Monday,December,2023
2023-12-15,23.46,23.46,22.98,23.0,1363184.0,N100,-0.46000000000000085,-1.961,Friday,December,2023
2023-12-14,23.64,24.02,23.4,23.44,633763.0,N100,-0.1999999999999993,-0.846,Thursday,December,2023
2023-12-13,23.54,23.68,23.44,23.46,330364.0,N100,-0.0799999999999983,-0.34,Wednesday,December,2023
2023-12-12,23.72,23.78,23.46,23.48,275060.0,N100,-0.23999999999999844,-1.012,Tuesday,December,2023
2023-12-11,23.46,23.74,23.38,23.68,343590.0,N100,0.21999999999999886,0.938,Monday,December,2023
2023-12-08,23.6,23.7,23.48,23.5,296299.0,N100,-0.10000000000000142,-0.424,Friday,December,2023
2023-12-07,23.56,23.64,23.38,23.58,403196.0,N100,0.019999999999999574,0.085,Thursday,December,2023
2023-12-06,23.54,23.84,23.54,23.62,417145.0,N100,0.08000000000000185,0.34,Wednesday,December,2023
2023-12-05,23.6,23.78,23.44,23.58,421238.0,N100,-0.020000000000003126,-0.085,Tuesday,December,2023
2023-12-04,22.82,23.8,22.78,23.52,817162.0,N100,0.6999999999999993,3.067,Monday,December,2023
2023-12-01,22.76,22.82,22.56,22.68,512490.0,N100,-0.08000000000000185,-0.351,Friday,December,2023
2023-11-30,22.54,22.7,22.44,22.7,3758343.0,N100,0.16000000000000014,0.71,Thursday,November,2023
2023-11-29,22.34,22.86,22.22,22.52,723140.0,N100,0.17999999999999972,0.806,Wednesday,November,2023
2023-11-28,22.08,22.36,21.92,22.34,646050.0,N100,0.26000000000000156,1.178,Tuesday,November,2023
2023-11-27,22.18,22.26,22.04,22.1,521891.0,N100,-0.0799999999999983,-0.361,Monday,November,2023
2023-11-24,21.74,22.1,21.74,22.04,389702.0,N100,0.3000000000000007,1.38,Friday,November,2023
2023-11-23,21.92,21.94,21.72,21.78,466642.0,N100,-0.14000000000000057,-0.639,Thursday,November,2023
2023-11-22,21.86,21.92,21.74,21.92,632278.0,N100,0.060000000000002274,0.274,Wednesday,November,2023
2023-11-21,21.62,21.98,21.58,21.92,397154.0,N100,0.3000000000000007,1.388,Tuesday,November,2023
2023-11-20,21.52,22.02,21.4,21.64,631365.0,N100,0.120000000000001,0.558,Monday,November,2023
2023-11-17,22.0,22.1,21.74,21.76,395768.0,N100,-0.23999999999999844,-1.091,Friday,November,2023
2023-11-16,22.18,22.3,21.96,22.02,314780.0,N100,-0.16000000000000014,-0.721,Thursday,November,2023
2023-11-15,22.4,22.52,22.12,22.12,543486.0,N100,-0.2799999999999976,-1.25,Wednesday,November,2023
2023-11-14,22.42,22.66,22.34,22.52,428836.0,N100,0.09999999999999787,0.446,Tuesday,November,2023
2023-11-13,22.12,22.46,22.08,22.44,347911.0,N100,0.3200000000000003,1.447,Monday,November,2023
2023-11-10,22.36,22.56,21.98,22.1,469439.0,N100,-0.259999999999998,-1.163,Friday,November,2023
2023-11-09,22.36,22.4,22.06,22.32,439695.0,N100,-0.03999999999999915,-0.179,Thursday,November,2023
2023-11-08,22.36,22.6,22.18,22.3,826721.0,N100,-0.05999999999999872,-0.268,Wednesday,November,2023
