Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,60.7,61.08,60.18,60.54,348037.0,N100,-0.1600000000000037,-0.264,Monday,January,2024
2024-01-05,60.9,61.26,60.56,60.86,676479.0,N100,-0.03999999999999915,-0.066,Friday,January,2024
2024-01-04,60.04,61.28,60.04,61.14,725162.0,N100,1.1000000000000014,1.832,Thursday,January,2024
2024-01-03,60.8,61.46,59.94,60.16,576839.0,N100,-0.6400000000000006,-1.053,Wednesday,January,2024
2024-01-02,59.0,60.48,59.0,60.48,522185.0,N100,1.4799999999999969,2.508,Tuesday,January,2024
2023-12-29,58.44,58.96,58.22,58.72,335142.0,N100,0.28000000000000114,0.479,Friday,December,2023
2023-12-28,58.62,58.84,58.46,58.56,352222.0,N100,-0.05999999999999517,-0.102,Thursday,December,2023
2023-12-27,58.34,58.7,57.86,58.6,304469.0,N100,0.259999999999998,0.446,Wednesday,December,2023
2023-12-22,57.82,58.26,57.68,58.0,308170.0,N100,0.17999999999999972,0.311,Friday,December,2023
2023-12-21,57.66,57.86,57.22,57.86,463378.0,N100,0.20000000000000284,0.347,Thursday,December,2023
2023-12-20,57.5,58.06,57.14,57.9,545819.0,N100,0.3999999999999986,0.696,Wednesday,December,2023
2023-12-19,57.5,57.98,56.96,57.24,492893.0,N100,-0.259999999999998,-0.452,Tuesday,December,2023
2023-12-18,58.22,58.6,57.52,57.54,431675.0,N100,-0.6799999999999997,-1.168,Monday,December,2023
2023-12-15,58.38,58.74,57.9,58.54,1526850.0,N100,0.1599999999999966,0.274,Friday,December,2023
2023-12-14,56.46,58.72,56.46,58.24,1466922.0,N100,1.7800000000000011,3.153,Thursday,December,2023
2023-12-13,55.8,56.62,55.5,55.84,549386.0,N100,0.04000000000000625,0.072,Wednesday,December,2023
2023-12-12,56.64,56.92,55.92,55.96,622605.0,N100,-0.6799999999999997,-1.201,Tuesday,December,2023
2023-12-11,56.94,57.06,56.5,56.72,508579.0,N100,-0.21999999999999886,-0.386,Monday,December,2023
2023-12-08,55.94,57.26,55.94,56.96,860403.0,N100,1.0200000000000031,1.823,Friday,December,2023
2023-12-07,55.08,56.38,54.94,56.06,729280.0,N100,0.980000000000004,1.779,Thursday,December,2023
2023-12-06,54.96,55.76,54.7,55.56,617912.0,N100,0.6000000000000014,1.092,Wednesday,December,2023
2023-12-05,53.5,55.04,53.5,54.88,776714.0,N100,1.3800000000000026,2.579,Tuesday,December,2023
2023-12-04,53.26,54.08,53.2,53.92,520621.0,N100,0.6600000000000037,1.239,Monday,December,2023
2023-12-01,53.88,54.02,53.12,53.38,846436.0,N100,-0.5,-0.928,Friday,December,2023
2023-11-30,52.5,52.96,52.16,52.6,1292927.0,N100,0.10000000000000142,0.19,Thursday,November,2023
2023-11-29,52.18,52.58,52.1,52.48,495304.0,N100,0.29999999999999716,0.575,Wednesday,November,2023
2023-11-28,52.28,52.66,52.02,52.18,677543.0,N100,-0.10000000000000142,-0.191,Tuesday,November,2023
2023-11-27,53.42,53.42,52.54,52.56,520952.0,N100,-0.8599999999999994,-1.61,Monday,November,2023
2023-11-24,52.96,53.44,52.94,53.44,425981.0,N100,0.4799999999999969,0.906,Friday,November,2023
2023-11-23,52.44,52.88,52.44,52.88,557654.0,N100,0.44000000000000483,0.839,Thursday,November,2023
2023-11-22,52.18,52.7,52.16,52.44,507861.0,N100,0.259999999999998,0.498,Wednesday,November,2023
2023-11-21,52.56,52.62,52.0,52.14,627535.0,N100,-0.4200000000000017,-0.799,Tuesday,November,2023
2023-11-20,53.36,53.36,52.04,52.72,596378.0,N100,-0.6400000000000006,-1.199,Monday,November,2023
2023-11-17,52.0,53.3,52.0,53.24,837561.0,N100,1.240000000000002,2.385,Friday,November,2023
