Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,91.1,91.26,89.8,91.04,471248.0,N100,-0.05999999999998806,-0.066,Monday,January,2024
2024-01-05,91.96,91.98,90.5,91.3,386142.0,N100,-0.6599999999999966,-0.718,Friday,January,2024
2024-01-04,91.56,92.32,90.96,92.32,415729.0,N100,0.7599999999999909,0.83,Thursday,January,2024
2024-01-03,92.5,92.68,90.8,91.68,482724.0,N100,-0.8199999999999932,-0.886,Wednesday,January,2024
2024-01-02,94.2,94.5,92.76,93.14,263381.0,N100,-1.0600000000000023,-1.125,Tuesday,January,2024
2023-12-29,94.12,94.4,93.86,94.1,200012.0,N100,-0.020000000000010232,-0.021,Friday,December,2023
2023-12-28,94.66,94.7,93.96,94.2,186117.0,N100,-0.45999999999999375,-0.486,Thursday,December,2023
2023-12-27,94.62,95.12,94.5,94.62,181906.0,N100,0.0,0.0,Wednesday,December,2023
2023-12-22,95.2,95.44,94.44,94.6,256262.0,N100,-0.6000000000000085,-0.63,Friday,December,2023
2023-12-21,94.2,95.16,94.04,95.16,286478.0,N100,0.9599999999999937,1.019,Thursday,December,2023
2023-12-20,94.4,94.98,94.14,94.86,279381.0,N100,0.45999999999999375,0.487,Wednesday,December,2023
2023-12-19,95.36,95.9,94.22,94.5,564174.0,N100,-0.8599999999999994,-0.902,Tuesday,December,2023
2023-12-18,96.2,96.86,96.04,96.18,348069.0,N100,-0.01999999999999602,-0.021,Monday,December,2023
2023-12-15,97.0,97.22,96.06,96.9,921633.0,N100,-0.09999999999999432,-0.103,Friday,December,2023
2023-12-14,95.3,96.6,95.26,96.5,647846.0,N100,1.2000000000000028,1.259,Thursday,December,2023
2023-12-13,95.04,95.46,94.46,94.46,300197.0,N100,-0.5800000000000125,-0.61,Wednesday,December,2023
2023-12-12,94.5,95.4,94.5,94.8,402836.0,N100,0.29999999999999716,0.317,Tuesday,December,2023
2023-12-11,93.94,95.58,93.88,94.94,552528.0,N100,1.0,1.065,Monday,December,2023
2023-12-08,92.0,94.46,91.9,93.88,481241.0,N100,1.8799999999999955,2.043,Friday,December,2023
2023-12-07,91.08,92.3,90.9,92.0,513376.0,N100,0.9200000000000017,1.01,Thursday,December,2023
2023-12-06,90.28,92.24,90.28,91.6,473305.0,N100,1.3199999999999932,1.462,Wednesday,December,2023
2023-12-05,88.4,89.78,88.26,89.78,366988.0,N100,1.3799999999999955,1.561,Tuesday,December,2023
2023-12-04,89.48,89.66,88.56,88.64,286676.0,N100,-0.8400000000000034,-0.939,Monday,December,2023
2023-12-01,88.7,89.66,88.48,89.42,353442.0,N100,0.7199999999999989,0.812,Friday,December,2023
