Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,21.42,22.08,21.42,22.0,2036754.0,N100,0.5799999999999983,2.708,Monday,January,2024
2024-01-05,21.22,21.58,21.17,21.49,1267966.0,N100,0.2699999999999996,1.272,Friday,January,2024
2024-01-04,20.93,21.41,20.9,21.28,1732069.0,N100,0.3500000000000014,1.672,Thursday,January,2024
2024-01-03,21.3,21.35,20.73,20.86,1742005.0,N100,-0.4400000000000013,-2.066,Wednesday,January,2024
2024-01-02,21.15,21.43,21.1,21.26,1148984.0,N100,0.11000000000000298,0.52,Tuesday,January,2024
2023-12-29,21.15,21.22,21.02,21.08,1115906.0,N100,-0.07000000000000028,-0.331,Friday,December,2023
2023-12-28,20.99,21.16,20.97,21.15,1299409.0,N100,0.16000000000000014,0.762,Thursday,December,2023
2023-12-27,21.0,21.15,20.88,20.94,1297367.0,N100,-0.05999999999999872,-0.286,Wednesday,December,2023
2023-12-22,20.8,21.01,20.73,21.01,951887.0,N100,0.21000000000000085,1.01,Friday,December,2023
2023-12-21,20.92,21.06,20.69,20.79,2220833.0,N100,-0.13000000000000256,-0.621,Thursday,December,2023
2023-12-20,21.43,21.63,21.16,21.33,1589370.0,N100,-0.10000000000000142,-0.467,Wednesday,December,2023
2023-12-19,20.68,21.44,20.66,21.41,3416662.0,N100,0.7300000000000004,3.53,Tuesday,December,2023
2023-12-18,20.09,20.67,20.05,20.63,2429668.0,N100,0.5399999999999991,2.688,Monday,December,2023
2023-12-15,20.33,20.72,19.96,20.18,12784742.0,N100,-0.14999999999999858,-0.738,Friday,December,2023
2023-12-14,19.4,20.32,19.36,20.31,4396130.0,N100,0.9100000000000001,4.691,Thursday,December,2023
2023-12-13,18.78,19.12,18.76,19.11,2278221.0,N100,0.3299999999999983,1.757,Wednesday,December,2023
2023-12-12,18.73,18.99,18.7,18.75,1668129.0,N100,0.019999999999999574,0.107,Tuesday,December,2023
2023-12-11,18.76,18.9,18.59,18.77,1418837.0,N100,0.00999999999999801,0.053,Monday,December,2023
2023-12-08,18.36,18.88,18.33,18.81,2157390.0,N100,0.4499999999999993,2.451,Friday,December,2023
2023-12-07,18.34,18.4,18.17,18.33,1278557.0,N100,-0.010000000000001563,-0.055,Thursday,December,2023
2023-12-06,18.44,18.51,18.08,18.36,2919983.0,N100,-0.08000000000000185,-0.434,Wednesday,December,2023
2023-12-05,18.66,18.73,18.41,18.48,2206370.0,N100,-0.17999999999999972,-0.965,Tuesday,December,2023
2023-12-04,18.8,19.21,18.72,18.81,2383638.0,N100,0.00999999999999801,0.053,Monday,December,2023
2023-12-01,18.82,18.87,18.64,18.79,1838972.0,N100,-0.030000000000001137,-0.159,Friday,December,2023
2023-11-30,18.8,18.94,18.59,18.77,14997291.0,N100,-0.030000000000001137,-0.16,Thursday,November,2023
2023-11-29,18.77,18.91,18.03,18.83,6900828.0,N100,0.05999999999999872,0.32,Wednesday,November,2023
2023-11-28,19.62,19.66,19.37,19.54,1765422.0,N100,-0.08000000000000185,-0.408,Tuesday,November,2023
2023-11-27,19.52,19.69,19.49,19.69,1750396.0,N100,0.1700000000000017,0.871,Monday,November,2023
2023-11-24,19.51,19.59,19.41,19.59,1473795.0,N100,0.0799999999999983,0.41,Friday,November,2023
2023-11-23,19.47,19.58,19.41,19.58,856793.0,N100,0.10999999999999943,0.565,Thursday,November,2023
2023-11-22,19.3,19.52,19.24,19.51,1295744.0,N100,0.21000000000000085,1.088,Wednesday,November,2023
2023-11-21,19.31,19.4,19.19,19.34,1180861.0,N100,0.030000000000001137,0.155,Tuesday,November,2023
2023-11-20,19.32,19.38,19.11,19.32,1177489.0,N100,0.0,0.0,Monday,November,2023
2023-11-17,19.31,19.58,19.3,19.39,1892441.0,N100,0.08000000000000185,0.414,Friday,November,2023
2023-11-16,19.32,19.49,19.23,19.3,2091984.0,N100,-0.019999999999999574,-0.104,Thursday,November,2023
2023-11-15,19.22,19.74,19.15,19.38,2020858.0,N100,0.16000000000000014,0.832,Wednesday,November,2023
2023-11-14,18.75,19.29,18.73,19.21,1503059.0,N100,0.46000000000000085,2.453,Tuesday,November,2023
2023-11-13,18.47,18.69,18.45,18.69,1430609.0,N100,0.22000000000000242,1.191,Monday,November,2023
2023-11-10,18.5,18.58,18.29,18.4,1189419.0,N100,-0.10000000000000142,-0.541,Friday,November,2023
2023-11-09,18.58,18.65,18.44,18.64,1916009.0,N100,0.060000000000002274,0.323,Thursday,November,2023
2023-11-08,18.67,18.89,18.62,18.69,1768525.0,N100,0.019999999999999574,0.107,Wednesday,November,2023
2023-11-07,18.57,18.88,18.52,18.84,1049672.0,N100,0.2699999999999996,1.454,Tuesday,November,2023
2023-11-06,19.15,19.15,18.71,18.73,2680535.0,N100,-0.41999999999999815,-2.193,Monday,November,2023
2023-11-03,19.08,19.22,18.87,19.22,2260516.0,N100,0.14000000000000057,0.734,Friday,November,2023
2023-11-02,18.5,19.14,18.49,18.96,2732127.0,N100,0.46000000000000085,2.486,Thursday,November,2023
