Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,54.82,55.08,54.22,55.04,228815.0,N100,0.21999999999999886,0.401,Monday,January,2024
2024-01-05,55.44,55.56,54.5,54.9,250824.0,N100,-0.5399999999999991,-0.974,Friday,January,2024
2024-01-04,55.5,55.76,55.24,55.64,204420.0,N100,0.14000000000000057,0.252,Thursday,January,2024
2024-01-03,57.02,57.1,54.8,55.4,310185.0,N100,-1.6200000000000045,-2.841,Wednesday,January,2024
2024-01-02,57.0,57.48,56.64,56.9,150124.0,N100,-0.10000000000000142,-0.175,Tuesday,January,2024
2023-12-29,56.92,57.18,56.72,56.72,209017.0,N100,-0.20000000000000284,-0.351,Friday,December,2023
2023-12-28,57.36,57.5,56.84,56.84,195951.0,N100,-0.519999999999996,-0.907,Thursday,December,2023
2023-12-27,57.04,57.56,57.04,57.26,213781.0,N100,0.21999999999999886,0.386,Wednesday,December,2023
2023-12-22,56.8,57.22,56.76,57.12,169686.0,N100,0.3200000000000003,0.563,Friday,December,2023
2023-12-21,56.98,57.18,56.62,56.8,247279.0,N100,-0.17999999999999972,-0.316,Thursday,December,2023
2023-12-20,57.1,57.26,56.68,57.26,281935.0,N100,0.1599999999999966,0.28,Wednesday,December,2023
2023-12-19,56.6,57.3,56.58,57.24,282367.0,N100,0.6400000000000006,1.131,Tuesday,December,2023
2023-12-18,56.8,56.9,56.44,56.54,286173.0,N100,-0.259999999999998,-0.458,Monday,December,2023
2023-12-15,56.96,57.4,56.74,57.16,726945.0,N100,0.19999999999999574,0.351,Friday,December,2023
2023-12-14,56.7,57.56,56.28,56.56,452324.0,N100,-0.14000000000000057,-0.247,Thursday,December,2023
2023-12-13,56.42,56.58,56.04,56.06,220043.0,N100,-0.35999999999999943,-0.638,Wednesday,December,2023
2023-12-12,56.28,56.48,56.1,56.2,251789.0,N100,-0.0799999999999983,-0.142,Tuesday,December,2023
2023-12-11,56.04,56.54,56.02,56.24,393189.0,N100,0.20000000000000284,0.357,Monday,December,2023
2023-12-08,55.32,56.12,55.32,56.02,346792.0,N100,0.7000000000000028,1.265,Friday,December,2023
2023-12-07,54.94,55.12,54.62,54.92,247723.0,N100,-0.01999999999999602,-0.036,Thursday,December,2023
2023-12-06,54.92,55.4,54.64,54.98,295232.0,N100,0.05999999999999517,0.109,Wednesday,December,2023
2023-12-05,54.84,55.5,54.78,54.78,337638.0,N100,-0.060000000000002274,-0.109,Tuesday,December,2023
2023-12-04,54.82,55.16,54.76,54.8,210605.0,N100,-0.020000000000003126,-0.036,Monday,December,2023
2023-12-01,54.78,55.16,54.52,54.82,286696.0,N100,0.03999999999999915,0.073,Friday,December,2023
2023-11-30,54.86,54.9,54.3,54.5,540851.0,N100,-0.35999999999999943,-0.656,Thursday,November,2023
2023-11-29,54.2,54.88,54.14,54.88,266590.0,N100,0.6799999999999997,1.255,Wednesday,November,2023
2023-11-28,54.06,54.36,53.78,54.16,323660.0,N100,0.09999999999999432,0.185,Tuesday,November,2023
2023-11-27,54.6,54.7,54.26,54.3,222207.0,N100,-0.30000000000000426,-0.549,Monday,November,2023
2023-11-24,53.94,54.58,53.92,54.58,233903.0,N100,0.6400000000000006,1.187,Friday,November,2023
2023-11-23,53.92,54.1,53.7,53.86,153481.0,N100,-0.060000000000002274,-0.111,Thursday,November,2023
2023-11-22,53.48,54.0,53.48,53.9,251110.0,N100,0.4200000000000017,0.785,Wednesday,November,2023
2023-11-21,53.54,53.74,53.2,53.32,221464.0,N100,-0.21999999999999886,-0.411,Tuesday,November,2023
2023-11-20,53.7,53.72,53.08,53.44,249174.0,N100,-0.2600000000000051,-0.484,Monday,November,2023
2023-11-17,52.86,53.74,52.86,53.5,319792.0,N100,0.6400000000000006,1.211,Friday,November,2023
2023-11-16,53.72,53.9,52.64,52.64,417848.0,N100,-1.0799999999999983,-2.01,Thursday,November,2023
2023-11-15,53.18,53.9,53.18,53.72,221415.0,N100,0.5399999999999991,1.015,Wednesday,November,2023
2023-11-14,52.04,53.16,51.88,53.16,368937.0,N100,1.1199999999999974,2.152,Tuesday,November,2023
2023-11-13,51.96,52.18,51.74,52.06,215093.0,N100,0.10000000000000142,0.192,Monday,November,2023
2023-11-10,52.18,52.18,51.64,51.84,217727.0,N100,-0.3399999999999963,-0.652,Friday,November,2023
2023-11-09,50.94,52.44,50.94,52.42,336557.0,N100,1.480000000000004,2.905,Thursday,November,2023
2023-11-08,51.2,51.5,50.74,51.22,336096.0,N100,0.01999999999999602,0.039,Wednesday,November,2023
2023-11-07,51.3,51.78,50.82,51.12,238995.0,N100,-0.17999999999999972,-0.351,Tuesday,November,2023
2023-11-06,51.8,52.08,51.38,51.5,262568.0,N100,-0.29999999999999716,-0.579,Monday,November,2023
2023-11-03,51.76,52.66,51.56,51.82,313808.0,N100,0.060000000000002274,0.116,Friday,November,2023
2023-11-02,50.16,51.76,50.16,51.58,610509.0,N100,1.4200000000000017,2.831,Thursday,November,2023
2023-11-01,48.91,49.79,48.75,49.46,291801.0,N100,0.5500000000000043,1.125,Wednesday,November,2023
2023-10-31,48.59,49.0,48.39,48.84,360258.0,N100,0.25,0.515,Tuesday,October,2023
2023-10-30,48.71,48.98,48.21,48.46,273518.0,N100,-0.25,-0.513,Monday,October,2023
2023-10-27,49.35,49.59,48.36,48.4,327347.0,N100,-0.9500000000000028,-1.925,Friday,October,2023
2023-10-26,48.18,49.29,47.92,49.29,307423.0,N100,1.1099999999999994,2.304,Thursday,October,2023
2023-10-25,48.72,49.17,48.11,48.76,351991.0,N100,0.03999999999999915,0.082,Wednesday,October,2023
2023-10-24,46.06,50.14,46.06,48.69,674010.0,N100,2.6299999999999955,5.71,Tuesday,October,2023
2023-10-23,47.87,48.09,47.42,47.89,423944.0,N100,0.020000000000003126,0.042,Monday,October,2023
2023-10-20,48.14,48.18,47.66,47.66,438432.0,N100,-0.480000000000004,-0.997,Friday,October,2023
2023-10-19,48.92,49.17,47.33,48.46,472758.0,N100,-0.46000000000000085,-0.94,Thursday,October,2023
2023-10-18,49.49,49.95,49.07,49.15,320852.0,N100,-0.3400000000000034,-0.687,Wednesday,October,2023
