Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,93.43,94.29,93.38,94.13,910391.0,N100,0.6999999999999886,0.749,Monday,January,2024
2024-01-05,93.27,93.95,92.44,93.48,1311683.0,N100,0.21000000000000796,0.225,Friday,January,2024
2024-01-04,92.52,93.19,92.25,92.83,1152280.0,N100,0.3100000000000023,0.335,Thursday,January,2024
2024-01-03,91.86,92.49,91.37,91.98,1178887.0,N100,0.12000000000000455,0.131,Wednesday,January,2024
2024-01-02,90.06,91.08,89.88,90.89,1097645.0,N100,0.8299999999999983,0.922,Tuesday,January,2024
2023-12-29,89.3,89.89,89.24,89.76,852439.0,N100,0.46000000000000796,0.515,Friday,December,2023
2023-12-28,89.64,89.89,89.19,89.26,757652.0,N100,-0.37999999999999545,-0.424,Thursday,December,2023
2023-12-27,88.61,89.54,88.41,89.17,957760.0,N100,0.5600000000000023,0.632,Wednesday,December,2023
2023-12-22,89.12,89.58,88.96,89.34,1082587.0,N100,0.21999999999999886,0.247,Friday,December,2023
2023-12-21,87.73,89.03,87.62,88.96,953509.0,N100,1.2299999999999898,1.402,Thursday,December,2023
2023-12-20,89.11,89.38,88.62,89.17,1324596.0,N100,0.060000000000002274,0.067,Wednesday,December,2023
2023-12-19,88.73,89.72,88.58,88.93,1494952.0,N100,0.20000000000000284,0.225,Tuesday,December,2023
2023-12-18,88.1,89.41,88.02,88.61,1363611.0,N100,0.5100000000000051,0.579,Monday,December,2023
2023-12-15,87.51,88.02,86.91,87.7,4120144.0,N100,0.18999999999999773,0.217,Friday,December,2023
2023-12-14,88.86,89.8,87.7,88.02,1865262.0,N100,-0.8400000000000034,-0.945,Thursday,December,2023
2023-12-13,88.04,88.57,87.49,88.54,1721514.0,N100,0.5,0.568,Wednesday,December,2023
2023-12-12,87.09,88.37,86.96,87.87,1558861.0,N100,0.7800000000000011,0.896,Tuesday,December,2023
2023-12-11,86.37,88.34,86.15,87.8,2129581.0,N100,1.4299999999999926,1.656,Monday,December,2023
2023-12-08,85.6,86.18,84.97,86.13,1622181.0,N100,0.5300000000000011,0.619,Friday,December,2023
2023-12-07,86.27,87.42,83.28,85.1,2442405.0,N100,-1.1700000000000017,-1.356,Thursday,December,2023
2023-12-06,85.45,86.37,85.03,86.13,1611080.0,N100,0.6799999999999926,0.796,Wednesday,December,2023
2023-12-05,85.42,86.44,85.38,86.4,1486304.0,N100,0.980000000000004,1.147,Tuesday,December,2023
2023-12-04,85.9,86.74,85.78,86.59,953834.0,N100,0.6899999999999977,0.803,Monday,December,2023
2023-12-01,86.15,86.48,85.29,85.78,1286317.0,N100,-0.37000000000000455,-0.429,Friday,December,2023
2023-11-30,85.32,85.46,84.07,85.46,3201231.0,N100,0.14000000000000057,0.164,Thursday,November,2023
2023-11-29,85.71,86.21,84.87,84.87,1661276.0,N100,-0.8399999999999892,-0.98,Wednesday,November,2023
2023-11-28,86.69,86.8,85.51,85.76,2129845.0,N100,-0.9299999999999926,-1.073,Tuesday,November,2023
