Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,30.02,30.05,29.29,29.33,12742335.0,N100,-0.6900000000000013,-2.298,Monday,January,2024
2024-01-05,30.4,30.54,30.23,30.3,4343132.0,N100,-0.09999999999999787,-0.329,Friday,January,2024
2024-01-04,30.65,30.96,30.5,30.5,5106239.0,N100,-0.14999999999999858,-0.489,Thursday,January,2024
2024-01-03,30.12,30.55,29.92,30.49,8219408.0,N100,0.36999999999999744,1.228,Wednesday,January,2024
2024-01-02,30.15,30.42,29.96,30.1,4764327.0,N100,-0.04999999999999716,-0.166,Tuesday,January,2024
2023-12-29,29.67,30.05,29.61,29.8,5569311.0,N100,0.129999999999999,0.438,Friday,December,2023
2023-12-28,29.79,29.94,29.65,29.72,5428280.0,N100,-0.07000000000000028,-0.235,Thursday,December,2023
2023-12-27,30.02,30.17,29.8,29.82,5426237.0,N100,-0.1999999999999993,-0.666,Wednesday,December,2023
2023-12-22,30.0,30.17,29.84,29.9,4080330.0,N100,-0.10000000000000142,-0.333,Friday,December,2023
2023-12-21,30.0,30.13,29.76,29.86,6599765.0,N100,-0.14000000000000057,-0.467,Thursday,December,2023
2023-12-20,29.95,30.51,29.94,30.23,8365600.0,N100,0.28000000000000114,0.935,Wednesday,December,2023
2023-12-19,29.6,29.92,29.39,29.92,6072301.0,N100,0.3200000000000003,1.081,Tuesday,December,2023
2023-12-18,29.48,29.95,29.48,29.82,7066119.0,N100,0.33999999999999986,1.153,Monday,December,2023
2023-12-15,29.83,30.1,29.48,29.53,13075447.0,N100,-0.29999999999999716,-1.006,Friday,December,2023
2023-12-14,29.51,29.83,29.34,29.66,8175906.0,N100,0.14999999999999858,0.508,Thursday,December,2023
2023-12-13,29.29,29.59,29.18,29.41,8905800.0,N100,0.120000000000001,0.41,Wednesday,December,2023
2023-12-12,29.78,29.98,29.46,29.49,11311721.0,N100,-0.2900000000000027,-0.974,Tuesday,December,2023
2023-12-11,29.83,29.99,29.61,29.82,6053976.0,N100,-0.00999999999999801,-0.034,Monday,December,2023
2023-12-08,29.44,29.86,29.35,29.81,6734366.0,N100,0.36999999999999744,1.257,Friday,December,2023
2023-12-07,29.47,29.53,29.26,29.36,6498216.0,N100,-0.10999999999999943,-0.373,Thursday,December,2023
2023-12-06,29.96,30.02,29.5,29.5,11135161.0,N100,-0.46000000000000085,-1.535,Wednesday,December,2023
2023-12-05,29.9,30.14,29.75,29.96,7478175.0,N100,0.060000000000002274,0.201,Tuesday,December,2023
2023-12-04,30.0,30.13,29.63,30.02,8844998.0,N100,0.019999999999999574,0.067,Monday,December,2023
2023-12-01,30.3,30.57,30.18,30.38,6268536.0,N100,0.0799999999999983,0.264,Friday,December,2023
2023-11-30,30.05,30.78,29.95,30.12,9394681.0,N100,0.07000000000000028,0.233,Thursday,November,2023
2023-11-29,30.08,30.25,29.78,29.95,5579369.0,N100,-0.129999999999999,-0.432,Wednesday,November,2023
2023-11-28,30.08,30.32,29.97,30.23,5787980.0,N100,0.15000000000000213,0.499,Tuesday,November,2023
2023-11-27,30.09,30.33,29.92,30.11,5006502.0,N100,0.019999999999999574,0.066,Monday,November,2023
2023-11-24,30.14,30.45,30.05,30.34,4965466.0,N100,0.1999999999999993,0.664,Friday,November,2023
2023-11-23,30.0,30.24,29.91,30.17,4519218.0,N100,0.1700000000000017,0.567,Thursday,November,2023
2023-11-22,30.5,30.54,29.49,29.77,9216428.0,N100,-0.7300000000000004,-2.393,Wednesday,November,2023
2023-11-21,30.38,30.48,30.18,30.42,5541704.0,N100,0.0400000000000027,0.132,Tuesday,November,2023
2023-11-20,30.32,30.69,30.24,30.6,4953440.0,N100,0.28000000000000114,0.923,Monday,November,2023
2023-11-17,29.74,30.3,29.56,30.25,8786421.0,N100,0.5100000000000016,1.715,Friday,November,2023
2023-11-16,30.26,30.34,29.65,29.7,9840272.0,N100,-0.5600000000000023,-1.851,Thursday,November,2023
2023-11-15,30.54,30.77,30.47,30.67,5355317.0,N100,0.13000000000000256,0.426,Wednesday,November,2023
2023-11-14,30.92,31.02,30.32,30.59,8213876.0,N100,-0.33000000000000185,-1.067,Tuesday,November,2023
2023-11-13,30.6,30.91,30.49,30.9,4991743.0,N100,0.29999999999999716,0.98,Monday,November,2023
2023-11-10,30.5,30.77,30.36,30.52,3845275.0,N100,0.019999999999999574,0.066,Friday,November,2023
2023-11-09,30.18,30.5,29.91,30.44,6697389.0,N100,0.26000000000000156,0.861,Thursday,November,2023
2023-11-08,30.64,30.64,30.23,30.28,7602843.0,N100,-0.35999999999999943,-1.175,Wednesday,November,2023
2023-11-07,31.09,31.09,30.65,30.67,6645890.0,N100,-0.41999999999999815,-1.351,Tuesday,November,2023
2023-11-06,30.98,31.43,30.92,31.27,5378827.0,N100,0.28999999999999915,0.936,Monday,November,2023
2023-11-03,32.21,32.24,30.76,31.01,8298181.0,N100,-1.1999999999999993,-3.726,Friday,November,2023
2023-11-02,31.25,32.28,31.16,32.22,10578783.0,N100,0.9699999999999989,3.104,Thursday,November,2023
2023-11-01,30.84,31.3,30.68,31.04,5485227.0,N100,0.1999999999999993,0.649,Wednesday,November,2023
2023-10-31,31.06,31.11,30.6,30.83,7906798.0,N100,-0.23000000000000043,-0.741,Tuesday,October,2023
2023-10-30,31.41,31.63,31.04,31.2,5118430.0,N100,-0.21000000000000085,-0.669,Monday,October,2023
2023-10-27,31.53,32.17,31.28,31.41,8284481.0,N100,-0.120000000000001,-0.381,Friday,October,2023
2023-10-26,31.6,31.8,31.21,31.37,6343318.0,N100,-0.23000000000000043,-0.728,Thursday,October,2023
2023-10-25,31.5,31.79,31.38,31.61,5916178.0,N100,0.10999999999999943,0.349,Wednesday,October,2023
2023-10-24,31.53,31.85,31.47,31.63,4935281.0,N100,0.09999999999999787,0.317,Tuesday,October,2023
2023-10-23,31.55,31.95,31.42,31.79,6624990.0,N100,0.23999999999999844,0.761,Monday,October,2023
2023-10-20,32.1,32.34,31.67,31.77,9465562.0,N100,-0.33000000000000185,-1.028,Friday,October,2023
2023-10-19,32.37,32.48,31.81,32.18,7794823.0,N100,-0.18999999999999773,-0.587,Thursday,October,2023
2023-10-18,32.5,32.64,32.31,32.42,8356351.0,N100,-0.0799999999999983,-0.246,Wednesday,October,2023
2023-10-17,32.13,32.44,32.06,32.33,6517816.0,N100,0.19999999999999574,0.622,Tuesday,October,2023
2023-10-16,31.97,32.39,31.97,32.2,7596517.0,N100,0.23000000000000398,0.719,Monday,October,2023
2023-10-13,31.65,32.1,31.61,31.9,9986401.0,N100,0.25,0.79,Friday,October,2023
2023-10-12,31.21,31.63,31.18,31.48,6674931.0,N100,0.2699999999999996,0.865,Thursday,October,2023
2023-10-11,31.25,31.62,31.0,31.09,8727003.0,N100,-0.16000000000000014,-0.512,Wednesday,October,2023
2023-10-10,31.13,31.28,30.65,31.24,7149379.0,N100,0.10999999999999943,0.353,Tuesday,October,2023
2023-10-09,30.69,31.27,30.67,31.11,9897708.0,N100,0.41999999999999815,1.369,Monday,October,2023
2023-10-06,29.75,30.38,29.65,30.26,8422070.0,N100,0.5100000000000016,1.714,Friday,October,2023
2023-10-05,29.43,29.76,29.09,29.68,8934559.0,N100,0.25,0.849,Thursday,October,2023
2023-10-04,30.06,30.23,29.35,29.55,10015638.0,N100,-0.509999999999998,-1.697,Wednesday,October,2023
2023-10-03,30.06,30.44,29.99,30.17,6944557.0,N100,0.11000000000000298,0.366,Tuesday,October,2023
2023-10-02,30.51,30.73,30.15,30.23,7707686.0,N100,-0.28000000000000114,-0.918,Monday,October,2023
2023-09-29,31.0,31.16,30.43,30.5,8767861.0,N100,-0.5,-1.613,Friday,September,2023
2023-09-28,30.9,31.22,30.78,31.15,9880574.0,N100,0.25,0.809,Thursday,September,2023
2023-09-27,30.34,30.8,30.32,30.78,8405641.0,N100,0.4400000000000013,1.45,Wednesday,September,2023
2023-09-26,30.28,30.42,30.08,30.33,7390238.0,N100,0.04999999999999716,0.165,Tuesday,September,2023
2023-09-25,30.38,30.57,30.2,30.43,5195153.0,N100,0.05000000000000071,0.165,Monday,September,2023
2023-09-22,30.33,30.59,30.15,30.42,9541174.0,N100,0.09000000000000341,0.297,Friday,September,2023
2023-09-21,30.2,30.65,29.99,30.33,8392135.0,N100,0.129999999999999,0.43,Thursday,September,2023
2023-09-20,30.53,30.6,29.97,30.39,8555745.0,N100,-0.14000000000000057,-0.459,Wednesday,September,2023
2023-09-19,30.51,30.73,30.49,30.7,7930282.0,N100,0.18999999999999773,0.623,Tuesday,September,2023
2023-09-18,30.36,30.55,30.25,30.43,7199041.0,N100,0.07000000000000028,0.231,Monday,September,2023
2023-09-15,30.51,30.63,30.36,30.39,12158319.0,N100,-0.120000000000001,-0.393,Friday,September,2023
2023-09-14,29.78,30.44,29.73,30.4,12570220.0,N100,0.6199999999999974,2.082,Thursday,September,2023
2023-09-13,29.8,30.0,29.67,29.71,8523138.0,N100,-0.08999999999999986,-0.302,Wednesday,September,2023
2023-09-12,29.61,29.82,29.51,29.82,8953808.0,N100,0.21000000000000085,0.709,Tuesday,September,2023
2023-09-11,29.57,29.81,29.48,29.65,5622638.0,N100,0.0799999999999983,0.271,Monday,September,2023
2023-09-08,29.5,29.59,29.24,29.55,5731840.0,N100,0.05000000000000071,0.169,Friday,September,2023
