Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,129.85,132.55,127.9,132.25,121736.0,N100,2.4000000000000057,1.848,Monday,January,2024
2024-01-05,129.65,130.9,127.35,130.05,117741.0,N100,0.4000000000000057,0.309,Friday,January,2024
2024-01-04,128.25,130.25,128.0,130.25,105540.0,N100,2.0,1.559,Thursday,January,2024
2024-01-03,133.1,133.4,126.35,128.3,197043.0,N100,-4.799999999999983,-3.606,Wednesday,January,2024
2024-01-02,132.35,134.25,131.0,133.3,111215.0,N100,0.950000000000017,0.718,Tuesday,January,2024
2023-12-29,134.0,134.8,126.45,132.05,215742.0,N100,-1.9499999999999886,-1.455,Friday,December,2023
2023-12-28,133.75,134.3,132.45,134.1,119870.0,N100,0.3499999999999943,0.262,Thursday,December,2023
2023-12-27,133.55,135.25,132.8,133.1,137723.0,N100,-0.45000000000001705,-0.337,Wednesday,December,2023
2023-12-22,135.6,136.2,131.9,133.35,148958.0,N100,-2.25,-1.659,Friday,December,2023
2023-12-21,129.8,136.75,129.5,136.05,245939.0,N100,6.25,4.815,Thursday,December,2023
2023-12-20,129.5,131.65,129.35,130.85,174598.0,N100,1.3499999999999943,1.042,Wednesday,December,2023
2023-12-19,125.05,129.0,125.05,129.0,245592.0,N100,3.950000000000003,3.159,Tuesday,December,2023
2023-12-18,122.15,127.1,121.5,124.6,208024.0,N100,2.4499999999999886,2.006,Monday,December,2023
2023-12-15,122.75,123.65,121.2,122.65,534727.0,N100,-0.09999999999999432,-0.081,Friday,December,2023
2023-12-14,118.0,123.3,118.0,121.9,285762.0,N100,3.9000000000000057,3.305,Thursday,December,2023
2023-12-13,117.4,119.15,116.25,116.35,211162.0,N100,-1.0500000000000114,-0.894,Wednesday,December,2023
2023-12-12,118.4,120.5,117.55,117.6,200772.0,N100,-0.8000000000000114,-0.676,Tuesday,December,2023
2023-12-11,117.5,118.05,115.85,117.8,264747.0,N100,0.29999999999999716,0.255,Monday,December,2023
2023-12-08,118.2,120.5,117.7,118.05,326348.0,N100,-0.15000000000000568,-0.127,Friday,December,2023
2023-12-07,120.4,120.4,115.35,117.9,347985.0,N100,-2.5,-2.076,Thursday,December,2023
2023-12-06,123.5,123.7,120.95,121.0,241249.0,N100,-2.5,-2.024,Wednesday,December,2023
2023-12-05,123.65,124.45,122.75,123.15,227746.0,N100,-0.5,-0.404,Tuesday,December,2023
2023-12-04,128.1,129.25,123.7,123.7,251439.0,N100,-4.3999999999999915,-3.435,Monday,December,2023
2023-12-01,129.5,130.15,126.35,128.0,130990.0,N100,-1.5,-1.158,Friday,December,2023
2023-11-30,130.2,130.7,127.9,128.55,463413.0,N100,-1.6499999999999773,-1.267,Thursday,November,2023
2023-11-29,129.2,131.05,129.2,130.3,116035.0,N100,1.1000000000000227,0.851,Wednesday,November,2023
2023-11-28,130.15,130.5,127.75,128.95,122360.0,N100,-1.200000000000017,-0.922,Tuesday,November,2023
2023-11-27,130.8,131.35,130.0,130.0,102946.0,N100,-0.8000000000000114,-0.612,Monday,November,2023
2023-11-24,130.15,131.7,129.9,130.85,83072.0,N100,0.6999999999999886,0.538,Friday,November,2023
2023-11-23,130.85,131.2,128.65,130.05,109022.0,N100,-0.799999999999983,-0.611,Thursday,November,2023
2023-11-22,131.7,133.15,129.55,131.45,124332.0,N100,-0.25,-0.19,Wednesday,November,2023
2023-11-21,134.7,135.7,132.1,132.3,110506.0,N100,-2.3999999999999773,-1.782,Tuesday,November,2023
2023-11-20,134.9,136.2,134.05,134.7,109462.0,N100,-0.20000000000001705,-0.148,Monday,November,2023
2023-11-17,133.5,138.05,133.5,135.1,286451.0,N100,1.5999999999999943,1.199,Friday,November,2023
2023-11-16,134.2,135.85,132.55,133.5,160042.0,N100,-0.6999999999999886,-0.522,Thursday,November,2023
2023-11-15,132.3,136.9,131.9,134.25,260857.0,N100,1.9499999999999886,1.474,Wednesday,November,2023
2023-11-14,125.4,133.65,125.1,131.95,270713.0,N100,6.549999999999983,5.223,Tuesday,November,2023
2023-11-13,126.4,127.9,124.65,125.9,186088.0,N100,-0.5,-0.396,Monday,November,2023
2023-11-10,126.1,127.7,123.3,125.45,230658.0,N100,-0.6499999999999915,-0.515,Friday,November,2023
2023-11-09,127.4,128.0,125.05,128.0,267784.0,N100,0.5999999999999943,0.471,Thursday,November,2023
2023-11-08,126.1,129.35,125.65,126.95,396107.0,N100,0.8500000000000085,0.674,Wednesday,November,2023
2023-11-07,113.0,124.5,113.0,124.3,437019.0,N100,11.299999999999997,10.0,Tuesday,November,2023
2023-11-06,124.1,124.6,119.75,119.85,260056.0,N100,-4.25,-3.425,Monday,November,2023
2023-11-03,118.0,125.4,117.75,123.75,335891.0,N100,5.75,4.873,Friday,November,2023
2023-11-02,112.75,118.15,112.35,117.05,233488.0,N100,4.299999999999997,3.814,Thursday,November,2023
2023-11-01,109.05,112.0,107.75,111.15,270036.0,N100,2.1000000000000085,1.926,Wednesday,November,2023
2023-10-31,106.4,108.3,105.6,108.15,309806.0,N100,1.75,1.645,Tuesday,October,2023
2023-10-30,103.4,107.25,103.4,105.5,277952.0,N100,2.0999999999999943,2.031,Monday,October,2023
2023-10-27,99.1,103.0,97.48,102.45,367576.0,N100,3.3500000000000085,3.38,Friday,October,2023
2023-10-26,105.5,106.1,96.62,99.1,859611.0,N100,-6.400000000000006,-6.066,Thursday,October,2023
2023-10-25,114.2,114.45,108.5,108.7,254764.0,N100,-5.5,-4.816,Wednesday,October,2023
2023-10-24,114.3,117.0,114.2,114.45,203154.0,N100,0.15000000000000568,0.131,Tuesday,October,2023
2023-10-23,118.05,118.9,113.2,113.4,228406.0,N100,-4.6499999999999915,-3.939,Monday,October,2023
2023-10-20,118.1,119.3,116.45,118.2,227059.0,N100,0.10000000000000853,0.085,Friday,October,2023
2023-10-19,116.8,119.2,116.7,118.85,174267.0,N100,2.049999999999997,1.755,Thursday,October,2023
2023-10-18,118.2,119.25,116.9,118.2,158860.0,N100,0.0,0.0,Wednesday,October,2023
2023-10-17,118.2,119.8,117.0,118.55,175851.0,N100,0.3499999999999943,0.296,Tuesday,October,2023
2023-10-16,116.75,119.1,116.75,118.75,128580.0,N100,2.0,1.713,Monday,October,2023
2023-10-13,118.35,119.25,117.0,117.4,273929.0,N100,-0.9499999999999886,-0.803,Friday,October,2023
2023-10-12,120.0,120.75,118.5,119.1,145472.0,N100,-0.9000000000000057,-0.75,Thursday,October,2023
2023-10-11,120.45,121.0,118.75,119.35,174954.0,N100,-1.1000000000000085,-0.913,Wednesday,October,2023
2023-10-10,118.05,121.5,118.05,121.3,135830.0,N100,3.25,2.753,Tuesday,October,2023
2023-10-09,117.05,117.85,116.05,117.1,178222.0,N100,0.04999999999999716,0.043,Monday,October,2023
2023-10-06,114.6,117.6,113.75,117.6,228338.0,N100,3.0,2.618,Friday,October,2023
2023-10-05,115.9,116.6,114.45,114.8,251821.0,N100,-1.1000000000000085,-0.949,Thursday,October,2023
2023-10-04,113.7,115.95,113.3,114.45,217850.0,N100,0.75,0.66,Wednesday,October,2023
2023-10-03,116.25,116.45,111.85,114.0,224523.0,N100,-2.25,-1.935,Tuesday,October,2023
2023-10-02,116.35,117.85,115.05,116.75,276152.0,N100,0.4000000000000057,0.344,Monday,October,2023
2023-09-29,116.9,121.9,116.45,119.4,353554.0,N100,2.5,2.139,Friday,September,2023
2023-09-28,113.0,115.4,112.05,115.4,356726.0,N100,2.4000000000000057,2.124,Thursday,September,2023
2023-09-27,114.5,117.25,114.0,114.2,286616.0,N100,-0.29999999999999716,-0.262,Wednesday,September,2023
2023-09-26,118.65,119.75,117.65,117.7,146804.0,N100,-0.9500000000000028,-0.801,Tuesday,September,2023
2023-09-25,120.2,121.45,118.75,119.9,114592.0,N100,-0.29999999999999716,-0.25,Monday,September,2023
2023-09-22,119.8,121.2,118.7,121.15,296712.0,N100,1.3500000000000085,1.127,Friday,September,2023
2023-09-21,121.0,121.5,119.85,120.35,211165.0,N100,-0.6500000000000057,-0.537,Thursday,September,2023
2023-09-20,121.75,123.15,121.6,122.45,137408.0,N100,0.7000000000000028,0.575,Wednesday,September,2023
2023-09-19,120.2,122.65,120.15,121.15,180477.0,N100,0.9500000000000028,0.79,Tuesday,September,2023
2023-09-18,124.45,124.65,120.5,120.8,204681.0,N100,-3.6500000000000057,-2.933,Monday,September,2023
2023-09-15,126.6,128.05,124.85,125.0,409338.0,N100,-1.5999999999999943,-1.264,Friday,September,2023
2023-09-14,126.25,126.25,123.6,126.05,207115.0,N100,-0.20000000000000284,-0.158,Thursday,September,2023
2023-09-13,125.1,125.75,123.15,124.95,151532.0,N100,-0.14999999999999147,-0.12,Wednesday,September,2023
2023-09-12,126.35,127.35,125.25,125.95,134005.0,N100,-0.3999999999999915,-0.317,Tuesday,September,2023
2023-09-11,127.4,128.3,126.0,126.5,158323.0,N100,-0.9000000000000057,-0.706,Monday,September,2023
2023-09-08,125.9,127.2,125.1,126.8,177374.0,N100,0.8999999999999915,0.715,Friday,September,2023
2023-09-07,125.85,127.2,124.3,125.4,266107.0,N100,-0.44999999999998863,-0.358,Thursday,September,2023
