Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,62.0,62.05,60.55,60.55,3900649.0,N100,-1.4500000000000028,-2.339,Monday,January,2024
2024-01-05,62.22,62.7,61.92,62.5,2376845.0,N100,0.28000000000000114,0.45,Friday,January,2024
2024-01-04,62.18,63.0,62.05,62.48,3956219.0,N100,0.29999999999999716,0.482,Thursday,January,2024
2024-01-03,61.91,62.07,61.27,61.74,3492054.0,N100,-0.1699999999999946,-0.275,Wednesday,January,2024
2024-01-02,61.85,62.31,61.64,61.99,4444831.0,N100,0.14000000000000057,0.226,Tuesday,January,2024
2023-12-29,61.25,61.93,61.16,61.6,2199645.0,N100,0.3500000000000014,0.571,Friday,December,2023
2023-12-28,62.27,62.5,61.31,61.41,3359184.0,N100,-0.8600000000000065,-1.381,Thursday,December,2023
2023-12-27,62.58,62.86,62.35,62.47,2788341.0,N100,-0.10999999999999943,-0.176,Wednesday,December,2023
2023-12-22,62.25,62.85,62.23,62.3,2558139.0,N100,0.04999999999999716,0.08,Friday,December,2023
2023-12-21,62.0,62.43,61.34,62.0,2710158.0,N100,0.0,0.0,Thursday,December,2023
2023-12-20,62.11,62.93,62.0,62.15,3566464.0,N100,0.03999999999999915,0.064,Wednesday,December,2023
2023-12-19,61.83,62.22,61.64,61.99,3651206.0,N100,0.1600000000000037,0.259,Tuesday,December,2023
2023-12-18,61.6,62.79,61.6,62.35,3931620.0,N100,0.75,1.218,Monday,December,2023
2023-12-15,61.9,62.99,61.44,61.63,11877782.0,N100,-0.269999999999996,-0.436,Friday,December,2023
2023-12-14,61.43,61.7,60.91,61.41,5278495.0,N100,-0.020000000000003126,-0.033,Thursday,December,2023
2023-12-13,61.4,61.72,61.03,61.36,5328497.0,N100,-0.03999999999999915,-0.065,Wednesday,December,2023
2023-12-12,61.9,62.59,61.27,61.31,4042135.0,N100,-0.5899999999999963,-0.953,Tuesday,December,2023
2023-12-11,62.0,62.34,61.48,61.97,3493872.0,N100,-0.030000000000001137,-0.048,Monday,December,2023
