Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,28.85,28.93,28.58,28.91,882019.0,N100,0.05999999999999872,0.208,Monday,January,2024
2024-01-05,28.59,28.85,28.35,28.85,1399007.0,N100,0.26000000000000156,0.909,Friday,January,2024
2024-01-04,28.26,28.84,28.26,28.84,1544192.0,N100,0.5799999999999983,2.052,Thursday,January,2024
2024-01-03,28.4,28.71,28.19,28.27,1685043.0,N100,-0.129999999999999,-0.458,Wednesday,January,2024
2024-01-02,28.66,28.87,28.3,28.4,1094043.0,N100,-0.26000000000000156,-0.907,Tuesday,January,2024
2023-12-29,28.7,28.76,28.56,28.56,1028374.0,N100,-0.14000000000000057,-0.488,Friday,December,2023
2023-12-28,28.8,28.82,28.47,28.65,1232231.0,N100,-0.15000000000000213,-0.521,Thursday,December,2023
2023-12-27,29.0,29.17,28.69,28.72,891513.0,N100,-0.28000000000000114,-0.966,Wednesday,December,2023
2023-12-22,29.11,29.22,28.99,29.06,826360.0,N100,-0.05000000000000071,-0.172,Friday,December,2023
2023-12-21,29.16,29.2,28.92,29.08,806043.0,N100,-0.08000000000000185,-0.274,Thursday,December,2023
2023-12-20,29.37,29.43,29.15,29.27,1025655.0,N100,-0.10000000000000142,-0.34,Wednesday,December,2023
2023-12-19,28.96,29.36,28.94,29.28,1182877.0,N100,0.3200000000000003,1.105,Tuesday,December,2023
2023-12-18,29.52,29.65,28.99,29.04,1427510.0,N100,-0.4800000000000004,-1.626,Monday,December,2023
2023-12-15,29.88,30.08,29.64,29.73,2699861.0,N100,-0.14999999999999858,-0.502,Friday,December,2023
2023-12-14,29.6,30.14,29.52,29.9,2538740.0,N100,0.29999999999999716,1.014,Thursday,December,2023
2023-12-13,29.12,29.47,29.12,29.13,1408444.0,N100,0.00999999999999801,0.034,Wednesday,December,2023
2023-12-12,29.5,29.62,29.17,29.17,1774488.0,N100,-0.3299999999999983,-1.119,Tuesday,December,2023
2023-12-11,29.54,29.58,29.31,29.39,1222004.0,N100,-0.14999999999999858,-0.508,Monday,December,2023
2023-12-08,29.21,29.57,29.18,29.55,1811856.0,N100,0.33999999999999986,1.164,Friday,December,2023
2023-12-07,29.51,29.65,29.14,29.21,1371232.0,N100,-0.3000000000000007,-1.017,Thursday,December,2023
2023-12-06,29.23,29.57,29.06,29.49,1433430.0,N100,0.259999999999998,0.889,Wednesday,December,2023
2023-12-05,28.92,29.21,28.84,29.12,1811088.0,N100,0.1999999999999993,0.692,Tuesday,December,2023
2023-12-04,29.0,29.21,28.88,28.92,1218459.0,N100,-0.0799999999999983,-0.276,Monday,December,2023
2023-12-01,29.0,29.13,28.83,28.96,1170543.0,N100,-0.03999999999999915,-0.138,Friday,December,2023
2023-11-30,28.66,29.09,28.65,28.91,1953202.0,N100,0.25,0.872,Thursday,November,2023
2023-11-29,28.46,28.89,28.45,28.68,1426089.0,N100,0.21999999999999886,0.773,Wednesday,November,2023
2023-11-28,28.26,28.48,28.22,28.43,983010.0,N100,0.16999999999999815,0.602,Tuesday,November,2023
2023-11-27,28.27,28.46,28.21,28.25,831565.0,N100,-0.019999999999999574,-0.071,Monday,November,2023
2023-11-24,28.09,28.36,28.03,28.22,1042520.0,N100,0.129999999999999,0.463,Friday,November,2023
2023-11-23,27.79,28.09,27.75,28.06,856377.0,N100,0.2699999999999996,0.972,Thursday,November,2023
2023-11-22,27.8,27.98,27.79,27.79,1237538.0,N100,-0.010000000000001563,-0.036,Wednesday,November,2023
2023-11-21,27.89,28.04,27.81,27.83,880718.0,N100,-0.060000000000002274,-0.215,Tuesday,November,2023
