Símbolo,Nombre de la empresa,Último precio,Cambio,Cambio de %,Volumen
EDP.LS,"EDP - Energias de Portugal, S.A.",45400,0,"0,00%",3.452.033
IPN.PA,Ipsen S.A.,10850,0,"0,00%",49.975
ERF.PA,Eurofins Scientific SE,5742,-4,"-0,07%",194.401
VIE.PA,Veolia Environnement SA,2891,6,"+0,21%",882.019
BNP.PA,BNP Paribas SA,6314,14,"+0,22%",1.129.620
PRX.AS,Prosus N.V.,2723,-7,"-0,24%",2.022.467
RAND.AS,Randstad N.V.,5504,14,"+0,26%",228.815
LR.PA,Legrand SA,9104,-26,"-0,28%",471.248
HO.PA,Thales S.A.,13710,40,"+0,29%",144.264
INGA.AS,ING Groep N.V.,1323,-4,"-0,33%",8.970.591
GBLB.BR,Groupe Bruxelles Lambert SA,7108,32,"+0,45%",101.146
KBC.BR,KBC Group NV,6054,-32,"-0,53%",348.037
ALO.PA,Alstom SA,1128,7,"+0,62%",1.233.543
SW.PA,Sodexo S.A.,10360,65,"+0,63%",143.465
EDEN.PA,Edenred SE,5504,36,"+0,66%",254.507
BN.PA,Danone S.A.,6093,42,"+0,69%",844.805
SAN.PA,Sanofi,9413,65,"+0,70%",910.391
JMT.LS,"Jerónimo Martins, SGPS, S.A.",2244,18,"+0,81%",361.972
ABI.BR,Anheuser-Busch InBev SA/NV,5938,52,"+0,88%",1.033.238
ASM.AS,ASM International NV,44505,395,"+0,90%",92.044
CAP.PA,Capgemini SE,18675,225,"+1,22%",198.564
ASML.AS,ASML Holding N.V.,65340,920,"+1,43%",367.262
EN.PA,Bouygues SA,3551,50,"+1,43%",611.680
TEP.PA,Teleperformance SE,13225,220,"+1,69%",121.736
KER.PA,Kering SA,38545,705,"+1,86%",129.783
PHIA.AS,Koninklijke Philips N.V.,2200,51,"+2,37%",2.036.754
AIR.PA,Airbus SE,14320,350,"+2,51%",747.456
TTE.PA,TotalEnergies SE,6055,-195,"-3,12%",3.900.649
SHELL.AS,Shell plc,2933,-97,"-3,18%",12.742.335
GALP.LS,"Galp Energia, SGPS, S.A.",1389,-51,"-3,58%",2.178.385
