Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-09,33704.83,33990.28,33600.32,33717.07,0.0,N225,12.239999999997963,0.036,Tuesday,January,2024
2024-01-05,33397.52,33568.04,33257.43,33377.42,115300000.0,N225,-20.099999999998545,-0.06,Friday,January,2024
2024-01-04,33193.05,33299.39,32693.18,33288.29,117300000.0,N225,95.23999999999796,0.287,Thursday,January,2024
2023-12-29,33458.64,33652.71,33305.17,33464.17,89000000.0,N225,5.529999999998836,0.017,Friday,December,2023
2023-12-28,33477.47,33571.73,33411.24,33539.62,73300000.0,N225,62.150000000001455,0.186,Thursday,December,2023
2023-12-27,33532.97,33755.75,33521.52,33681.24,93700000.0,N225,148.2699999999968,0.442,Wednesday,December,2023
2023-12-26,33295.68,33312.26,33181.36,33305.85,68300000.0,N225,10.169999999998254,0.031,Tuesday,December,2023
2023-12-25,33414.51,33414.51,33221.57,33254.03,58900000.0,N225,-160.4800000000032,-0.48,Monday,December,2023
2023-12-22,33257.95,33375.19,33151.7,33169.05,89400000.0,N225,-88.89999999999418,-0.267,Friday,December,2023
2023-12-21,33276.81,33337.84,33097.79,33140.47,95600000.0,N225,-136.3399999999965,-0.41,Thursday,December,2023
2023-12-20,33467.32,33824.06,33467.32,33675.94,118000000.0,N225,208.62000000000262,0.623,Wednesday,December,2023
2023-12-19,32774.21,33219.39,32654.43,33219.39,106300000.0,N225,445.1800000000003,1.358,Tuesday,December,2023
2023-12-18,32769.23,32790.58,32541.23,32758.98,106900000.0,N225,-10.250000000003638,-0.031,Monday,December,2023
2023-12-15,32760.56,33122.33,32732.66,32970.55,141100000.0,N225,209.9900000000016,0.641,Friday,December,2023
2023-12-14,33032.3,33120.55,32515.04,32686.25,133400000.0,N225,-346.0500000000029,-1.048,Thursday,December,2023
2023-12-13,32973.47,33104.47,32864.38,32926.35,100000000.0,N225,-47.12000000000262,-0.143,Wednesday,December,2023
2023-12-12,33107.65,33172.13,32800.24,32843.7,98100000.0,N225,-263.95000000000437,-0.797,Tuesday,December,2023
2023-12-11,32665.09,32933.08,32650.1,32791.8,105800000.0,N225,126.71000000000276,0.388,Monday,December,2023
2023-12-08,32600.47,32604.35,32205.38,32307.86,144200000.0,N225,-292.6100000000006,-0.898,Friday,December,2023
2023-12-07,33165.72,33195.87,32814.69,32858.31,105100000.0,N225,-307.4100000000035,-0.927,Thursday,December,2023
2023-12-06,32928.92,33452.13,32914.09,33445.9,91200000.0,N225,516.9800000000032,1.57,Wednesday,December,2023
2023-12-05,33022.38,33089.82,32726.68,32775.82,86100000.0,N225,-246.55999999999767,-0.747,Tuesday,December,2023
2023-12-04,33318.07,33324.38,33023.04,33231.27,87300000.0,N225,-86.80000000000291,-0.261,Monday,December,2023
2023-12-01,33537.44,33551.57,33397.42,33431.51,87600000.0,N225,-105.93000000000029,-0.316,Friday,December,2023
2023-11-30,33260.14,33486.89,33161.07,33486.89,152200000.0,N225,226.75,0.682,Thursday,November,2023
2023-11-29,33244.43,33516.23,33179.07,33321.22,89200000.0,N225,76.79000000000087,0.231,Wednesday,November,2023
2023-11-28,33520.39,33545.85,33298.04,33408.39,84100000.0,N225,-112.0,-0.334,Tuesday,November,2023
2023-11-27,33710.03,33811.41,33397.04,33447.67,82700000.0,N225,-262.3600000000006,-0.778,Monday,November,2023
2023-11-24,33752.05,33817.86,33622.57,33625.53,80700000.0,N225,-126.52000000000407,-0.375,Friday,November,2023
2023-11-22,33182.99,33593.5,33182.99,33451.83,75600000.0,N225,268.8400000000038,0.81,Wednesday,November,2023
2023-11-21,33453.15,33460.32,33254.73,33354.14,91900000.0,N225,-99.01000000000204,-0.296,Tuesday,November,2023
2023-11-20,33559.62,33853.46,33352.69,33388.03,94900000.0,N225,-171.59000000000378,-0.511,Monday,November,2023
2023-11-17,33344.85,33599.63,33263.67,33585.2,93200000.0,N225,240.34999999999854,0.721,Friday,November,2023
2023-11-16,33399.59,33614.13,33233.84,33424.41,94200000.0,N225,24.820000000006985,0.074,Thursday,November,2023
2023-11-15,33112.31,33556.52,33096.93,33519.7,123800000.0,N225,407.3899999999994,1.23,Wednesday,November,2023
2023-11-14,32760.51,32836.27,32667.4,32695.93,88100000.0,N225,-64.57999999999811,-0.197,Tuesday,November,2023
2023-11-13,32818.15,32913.31,32499.28,32585.11,90600000.0,N225,-233.04000000000087,-0.71,Monday,November,2023
2023-11-10,32491.24,32598.93,32248.24,32568.11,111300000.0,N225,76.86999999999898,0.237,Friday,November,2023
2023-11-09,32316.39,32723.71,32193.2,32646.46,115500000.0,N225,330.0699999999997,1.021,Thursday,November,2023
2023-11-08,32457.23,32512.17,32049.34,32166.48,156200000.0,N225,-290.75,-0.896,Wednesday,November,2023
2023-11-07,32551.77,32591.11,32250.93,32271.82,106700000.0,N225,-279.9500000000007,-0.86,Tuesday,November,2023
2023-11-06,32450.82,32766.54,32395.5,32708.48,139400000.0,N225,257.65999999999985,0.794,Monday,November,2023
2023-11-02,31987.02,32087.13,31878.36,31949.89,121100000.0,N225,-37.13000000000102,-0.116,Thursday,November,2023
2023-11-01,31311.22,31601.65,31301.51,31601.65,130100000.0,N225,290.4300000000003,0.928,Wednesday,November,2023
2023-10-31,30694.96,30973.66,30552.65,30858.85,134300000.0,N225,163.88999999999942,0.534,Tuesday,October,2023
2023-10-30,30663.48,30762.5,30538.29,30696.96,187000000.0,N225,33.47999999999956,0.109,Monday,October,2023
2023-10-27,30713.79,31081.48,30687.33,30991.69,89100000.0,N225,277.8999999999978,0.905,Friday,October,2023
2023-10-26,30902.92,30943.33,30567.61,30601.78,85600000.0,N225,-301.1399999999994,-0.974,Thursday,October,2023
2023-10-25,31302.51,31466.92,31195.58,31269.92,78700000.0,N225,-32.590000000000146,-0.104,Wednesday,October,2023
2023-10-24,31157.01,31210.26,30551.67,31062.35,97900000.0,N225,-94.65999999999985,-0.304,Tuesday,October,2023
2023-10-23,31151.98,31177.41,30974.26,30999.55,73500000.0,N225,-152.4300000000003,-0.489,Monday,October,2023
2023-10-20,31164.89,31428.97,31093.9,31259.36,84500000.0,N225,94.47000000000116,0.303,Friday,October,2023
2023-10-19,31579.54,31669.42,31399.17,31430.62,80700000.0,N225,-148.9200000000019,-0.472,Thursday,October,2023
2023-10-18,32033.81,32101.47,31866.95,32042.25,83200000.0,N225,8.43999999999869,0.026,Wednesday,October,2023
