Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,4461.8,4487.26,4438.49,4485.48,21900200.0,STOXX50E,23.67999999999938,0.531,Monday,January,2024
2024-01-05,4458.74,4474.88,4418.08,4463.51,28778100.0,STOXX50E,4.770000000000437,0.107,Friday,January,2024
2024-01-04,4451.72,4476.72,4443.42,4474.01,28082800.0,STOXX50E,22.289999999999964,0.501,Thursday,January,2024
2024-01-03,4514.2,4515.7,4433.14,4448.13,26376200.0,STOXX50E,-66.06999999999971,-1.464,Wednesday,January,2024
2023-12-29,4518.12,4536.44,4517.31,4521.65,13276900.0,STOXX50E,3.5299999999997453,0.078,Friday,December,2023
2023-12-28,4536.68,4542.75,4512.64,4514.38,14425000.0,STOXX50E,-22.300000000000182,-0.492,Thursday,December,2023
2023-12-27,4521.8,4542.33,4520.51,4528.38,16854400.0,STOXX50E,6.579999999999927,0.146,Wednesday,December,2023
2023-12-22,4520.6,4528.05,4505.73,4521.47,17782200.0,STOXX50E,0.8699999999998909,0.019,Friday,December,2023
2023-12-21,4522.49,4524.86,4503.36,4524.86,16748300.0,STOXX50E,2.369999999999891,0.052,Thursday,December,2023
2023-12-20,4538.12,4546.06,4515.52,4533.82,22434600.0,STOXX50E,-4.300000000000182,-0.095,Wednesday,December,2023
2023-12-19,4522.13,4538.32,4519.28,4535.4,23305200.0,STOXX50E,13.269999999999527,0.293,Tuesday,December,2023
2023-12-18,4540.12,4541.42,4513.1,4521.13,22240500.0,STOXX50E,-18.98999999999978,-0.418,Monday,December,2023
2023-12-15,4551.03,4579.9,4542.11,4549.44,62263800.0,STOXX50E,-1.5900000000001455,-0.035,Friday,December,2023
2023-12-14,4541.47,4593.11,4515.92,4539.16,47268300.0,STOXX50E,-2.3100000000004,-0.051,Thursday,December,2023
2023-12-13,4539.45,4554.13,4528.99,4530.19,27793300.0,STOXX50E,-9.260000000000218,-0.204,Wednesday,December,2023
2023-12-12,4544.41,4561.11,4535.04,4536.61,26300000.0,STOXX50E,-7.800000000000182,-0.172,Tuesday,December,2023
2023-12-11,4522.79,4544.13,4519.62,4540.19,24134800.0,STOXX50E,17.399999999999636,0.385,Monday,December,2023
2023-12-08,4477.04,4531.54,4477.04,4523.31,26886000.0,STOXX50E,46.27000000000044,1.033,Friday,December,2023
2023-12-07,4480.52,4480.52,4465.25,4473.77,31121800.0,STOXX50E,-6.75,-0.151,Thursday,December,2023
2023-12-06,4460.33,4495.3,4458.53,4483.26,32538500.0,STOXX50E,22.93000000000029,0.514,Wednesday,December,2023
2023-12-05,4414.33,4457.82,4412.67,4452.77,31965100.0,STOXX50E,38.44000000000051,0.871,Tuesday,December,2023
2023-12-04,4414.3,4426.55,4405.33,4414.95,25291700.0,STOXX50E,0.6499999999996362,0.015,Monday,December,2023
2023-12-01,4393.04,4420.57,4393.04,4418.51,23410400.0,STOXX50E,25.470000000000255,0.58,Friday,December,2023
2023-11-30,4370.39,4392.81,4361.83,4382.47,55338100.0,STOXX50E,12.079999999999927,0.276,Thursday,November,2023
2023-11-29,4341.3,4382.15,4341.3,4370.53,30478700.0,STOXX50E,29.229999999999563,0.673,Wednesday,November,2023
2023-11-28,4350.34,4350.34,4328.12,4348.02,23473700.0,STOXX50E,-2.319999999999709,-0.053,Tuesday,November,2023
2023-11-27,4369.92,4376.7,4353.27,4354.41,22306300.0,STOXX50E,-15.510000000000218,-0.355,Monday,November,2023
2023-11-24,4357.95,4375.83,4356.08,4372.1,21635400.0,STOXX50E,14.150000000000546,0.325,Friday,November,2023
2023-11-23,4352.73,4363.65,4350.42,4361.32,18317400.0,STOXX50E,8.590000000000146,0.197,Thursday,November,2023
2023-11-22,4335.78,4357.1,4335.78,4352.02,22322500.0,STOXX50E,16.24000000000069,0.375,Wednesday,November,2023
2023-11-21,4343.07,4345.07,4329.53,4331.9,24992700.0,STOXX50E,-11.170000000000073,-0.257,Tuesday,November,2023
2023-11-20,4338.4,4348.49,4330.47,4342.41,31874800.0,STOXX50E,4.010000000000218,0.092,Monday,November,2023
2023-11-17,4304.0,4347.53,4304.0,4340.77,41324200.0,STOXX50E,36.77000000000044,0.854,Friday,November,2023
2023-11-16,4315.57,4323.6,4302.45,4302.45,32963100.0,STOXX50E,-13.11999999999989,-0.304,Thursday,November,2023
2023-11-15,4294.98,4326.72,4294.98,4315.53,29961300.0,STOXX50E,20.550000000000182,0.478,Wednesday,November,2023
2023-11-14,4232.4,4304.72,4230.91,4291.72,37242600.0,STOXX50E,59.32000000000062,1.402,Tuesday,November,2023
2023-11-13,4205.41,4234.73,4205.41,4232.19,26669400.0,STOXX50E,26.779999999999745,0.637,Monday,November,2023
2023-11-10,4218.26,4218.26,4176.16,4197.36,25219100.0,STOXX50E,-20.900000000000546,-0.495,Friday,November,2023
2023-11-09,4179.35,4234.0,4166.89,4229.2,25142800.0,STOXX50E,49.849999999999454,1.193,Thursday,November,2023
2023-11-08,4148.42,4197.63,4133.46,4178.49,27660500.0,STOXX50E,30.06999999999971,0.725,Wednesday,November,2023
2023-11-07,4150.52,4164.88,4135.53,4153.37,20870700.0,STOXX50E,2.8499999999994543,0.069,Tuesday,November,2023
2023-11-06,4178.32,4188.65,4152.08,4158.64,25431900.0,STOXX50E,-19.67999999999938,-0.471,Monday,November,2023
2023-11-03,4175.85,4195.96,4163.86,4174.67,35837400.0,STOXX50E,-1.180000000000291,-0.028,Friday,November,2023
2023-11-02,4102.09,4188.31,4102.09,4169.62,35274500.0,STOXX50E,67.52999999999975,1.646,Thursday,November,2023
2023-11-01,4069.65,4103.65,4049.87,4091.71,28092900.0,STOXX50E,22.059999999999945,0.542,Wednesday,November,2023
