Símbolo,Nombre de la empresa,Último precio,Cambio,Cambio de %,Volumen
CA.PA,Carrefour SA,1672.0,1.0,"+0,03%",900.900
BAYN.DE,Bayer Aktiengesellschaft,3524.0,2.0,"+0,06%",4.787.454
BAS.DE,BASF SE,4676.0,-4.0,"-0,10%",1.586.061
CS.PA,AXA SA,2991.0,3.0,"+0,12%",1.290.406
DG.PA,Vinci SA,11410.0,22.0,"+0,19%",512.458
BNP.PA,BNP Paribas SA,6314.0,14.0,"+0,22%",1.129.620
ALV.DE,Allianz SE,24455.0,65.0,"+0,27%",437.610
ENEL.MI,Enel SpA,671.0,2.0,"+0,27%",17.837.252
G.MI,Assicurazioni Generali S.p.A.,1980.0,6.0,"+0,28%",1.689.639
ISP.MI,Intesa Sanpaolo S.p.A.,27955.0,80.0,"+0,29%",66.690.848
AI.PA,L'Air Liquide S.A.,17124.0,56.0,"+0,33%",381.703
INGA.AS,ING Groep N.V.,1323.0,-4.0,"-0,33%",8.970.591
IBE.MC,"Iberdrola, S.A.",1199.0,-4.0,"-0,33%",330
ENGI.PA,Engie SA,1641.0,7.0,"+0,43%",2.504.601
DTE.DE,Deutsche Telekom AG,2254.0,11.0,"+0,47%",5.093.698
EOAN.DE,E.ON SE,1255.0,7.0,"+0,52%",2.757.646
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,10120.0,54.0,"+0,54%",551.675
ABI.BR,Anheuser-Busch InBev SA/NV,5938.0,52.0,"+0,88%",1.033.238
GLE.PA,Société Générale Société anonyme,2468.0,23.0,"+0,94%",1.978.734
DBK.DE,Deutsche Bank Aktiengesellschaft,1271.0,14.0,"+1,15%",7.111.072
DAI.DE,DAI.DE,,,,
DPW.DE,DPW.DE,,,,
BN.PA,Danone S.A.,6093.0,42.0,"+0,69%",844.805
BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A.",860.0,9.0,"+1,03%",110
ASML.AS,ASML Holding N.V.,65340.0,920.0,"+1,43%",367.262
FRE.DE,Fresenius SE & Co. KGaA,2856.0,-43.0,"-1,48%",926.527
AIR.PA,Airbus SE,14320.0,350.0,"+2,51%",747.456
ENI.MI,Eni S.p.A.,1508.0,-46.0,"-2,96%",17.561.631
FP.PA,FP.PA,,,,
EI.PA,Essilor International Société Anonyme,,,,
